桜咲刹那,魔法先生ネギま!
猿飛あやめ,銀魂
椰子なごみ,つよきす
北条悟史,ひぐらしのなく頃に
木村カエレ,さよなら絶望先生
聖三咲,Saint October
空操弾馬,爆丸
ニース・ホーリーストーン,BACCANO!
佐藤リョータ,今日の5の2
リ・ア=ドラグネール,ワールド・デストラクション
嘉音,うみねこのなく頃に
加治木ゆみ,咲-Saki-
一ノ瀬凪,にゃんこい!
板垣菜々子,はじめの一歩 New Challenger
羽田ひろし,ヒゲぴよ
衹堂鞠也,まりあ†ほりっく
アマゾネス,荒川アンダーザブリッジ
シンシア・B・ロジャース,わんおふ -one off-
横島ナルコ,生徒会役員共
リオ/和宮梨旺,ソ・ラ・ノ・ヲ・ト
エリュゴス,魔界王子 devils and realist
霧野蘭丸,イナズマイレブンGO
剣城京介(幼少時代),イナズマイレブンGO
ヒラリ・フレイル,イナズマイレブンGOギャラクシー
いぬまるくん,いぬまるだしっ
本多・二代,境界線上のホライゾン
青葉弾道,DANDOH!!
浅雛菊乃,SKETDANCE
フランソワーズ坂井,だぶるじぇい
松本笑華,HIGHSCORE
クレイン,フラクタル-FRACTALE-
キャッシー,遊戯王ZEXAL
アンダイン恵,よんでますよ、アザゼルさん。
太田翔,銀河へキックオフ!!
シギィ,クイーンズブレイドリベリオン
ヤナギン,男子高校生の日常
長谷川留弥子,少女ファイト
後藤又兵衛,百花繚乱 サムライガールズ
ミランダ,イクシオンサーガDT
サシャ・ブラウス,進撃の巨人
風花・アジャー(イラスト左),機動戦士ガンダムSEEDASTRAY
ペコ（クンタック王子）,ドラえもん 新・のび太の大魔境 〜ペコと5人の探検隊〜
海鳴一心,ヒーローバンク
チェイン・皇,血界戦線
墨須,モンスター娘のいる日常
フィルチ,トランスフォーマーアドベンチャー
ゆう(画像左),おいでよどうぶつの森(映画)
服部花子,Classroom☆Crisis
露子,幸腹グラフィティ
プクリン,ポケモン不思議のダンジョン時の探検隊・闇の探検隊
綾辻絢瀬,落第騎士の英雄譚
小夏,昭和元禄落語心中
スパルダ,魔法つかいプリキュア!
小紫ワキヤ,ベイブレードバースト
野間マチコ,ハイスクール・フリート
エリザヴェータ=フォミナ,魔弾の王と戦姫
芹沼花依,私がモテてどうすんだ
ツチノコ,けものフレンズ(アニメ版)
パタリーナ,かみさまみならい ヒミツのここたま
ピピ美,ポプテピピック※第5話Aパート
デュエマウス,デュエル・マスターズVSR
