間柴久美,はじめの一歩
塔矢アキラ,ヒカルの碁
コタロー,PAPUWA
リリス,ヤミと帽子と本の旅人
にゅう/ルーシー,エルフェンリート
カノン・メンフィス,蒼穹のファフナー
レディ・バット,マーメイドメロディーぴちぴちピッチ
尾久崎晶,舞-HiME
マドラックス,MADLAX
天上院明日香,遊戯王GX/遊戯王ARC-V
北大路さつき,いちご100%
北島マヤ,ガラスの仮面(平成版)
コゴミ,ポケットモンスター アドバンスジェネレーション
闇の書の意思/リインフォース(アインス),魔法少女リリカルなのはA's
目渚,LOVELESS
藤原彰子,少年陰陽師
アレン・ウォーカー,D.Gray-man
パイ,.hackシリーズ
メア,灼眼のシャナⅡ
フィシス,地球へ…
エニス,BACCANO!
雷門夏未,イナズマイレブン
空野礼文,イナズマイレブン
クィール,イナズマイレブン
ギュエール,イナズマイレブン
夏目レイコ,夏目友人帳
キャサリン・グラス,マクロスF
本城刹那(画像右),魔人探偵脳噛ネウロ
アリー・コナリー,エレメントハンター
矢霧波江,デュラララ!!
スオミ・コネビ,アクエリオンEVOL
能美征二,アクセル・ワールド
ジェミニ・サンライズ,サクラ大戦
ユズリハ,聖闘士星矢 THE LOST CANVAS 冥王神話
陵いのり,メモリーズオフ
アイスクライマー,スマブラDX・X
アクア,ファンタスティックフォーチュン2
セシリア・レイン・アーデルハイド,ワイルドアームズ Alter Code:F
リドリー・ティンバーレイク,ラジアータストーリーズ
ルシアン・ブロンクス,サモンナイト4
ヴァン、エール,ロックマンゼクス
ジルダリア,武装神姫
成美那,ソウルキャリバーⅣ
藤堂加奈,加奈～いもうと～
シオニー・レジス,第2次スーパーロボット大戦Z
フアナ・オルシズ,メルルのアトリエ
フラン,ARMORED CORE V
グラビティ・キトゥン,GRAVITYDAZE
フォルテ,ルーンファクトリー4
クリストファー・ソーンダイク(12歳時),ソニックX
水無瀬舞,.hack//Liminality
紅麗花,創聖のアクエリオン
暁深森,ストライク・ザ・ブラッド
氷川まりあ/キュアテンダー,ハピネスチャージプリキュア!
伊邪那美命(イザナミノミコト),鬼灯の冷徹
アンジェ,グランブルーファンタジー
