衛,シスタープリンセス
壇太一,テニスの王子様
結城ケント,電脳冒険記ウェブダイバー
市村鉄之助,PEACE MAKER鐵
東和馬,焼きたて!!ジャぱん
緒方真竹,灼眼のシャナ
切札勝舞,デュエルマスターズ
切札勝太,デュエルマスターズビクトリー
切札ジョー,デュエル・マスターズ
多聞三志郎,妖逆門
マーヤ・ブライス,舞-乙HiME
ガク,はぴはぴクローバー
騎神アリババ/アリババ神帝,祝（ハピ☆ラキ）ビックリマン
騎神子アリ,祝（ハピ☆ラキ）ビックリマン
ジンジャー・ブレッド,家庭教師ヒットマンREBORN!
ポコタ,スレイヤーズREVOLUTION
ブラック☆スター,ソウルイーター
霧隠才次,イナズマイレブン
イオン,テイルズオブジアビス（TVアニメ版）
シンク,テイルズオブジアビス（TVアニメ版）
フローリアン,テイルズオブジアビス（TVアニメ版）
鋼丸,ツバサ・クロニクル
小野沢悠貴,東京マグニチュード8.0
なかたさん、妖精さん,人類は衰退しました
大山,AngelBeats!
日向桐生,神様ドォルズ
南野奏太,スイートプリキュア
ピッポ,映画ドラえもん 新・のび太と鉄人兵団～はばたけ 天使たち～
カミツレ,ポケットモンスター ベストウイッシュ
ワタナベぽえみ,ぷにぷに☆ぽえみぃ
ポコ,ジョジョの奇妙な冒険
シロ,鬼灯の冷徹
ティニー,ふうせんいぬティニー
ハチ,怪盗ジョーカー
グミミン,ジュエルペット スウィーツダンスプリンセス
地主純一郎（左側）,ご姉弟物語
野原しんのすけ（2代目）,クレヨンしんちゃん
入達遊太,斉木楠雄のΨ難 ※画像左
栄太郎,おそ松さん ※画像左
