ナージャ・アップルフィールド,明日のナージャ
クラエス,ガンスリンガーガール
塚本天満,スクールランブル
桜塚美紀,おねがいマイメロディ
アネモネ,交響詩篇エウレカセブン
ニナ・ウォン,舞-乙hime
テンコ,神様家族
律子・キューベル・ケッテンクラート,くじびきアンバランス
紅月カレン/カレン・シュタットフェルト,コードギアスシリーズ
神谷朝霞,スケッチブックFULLcolor's
ホロ,狼と香辛料
シャーロット・E・イェーガー,ストライクウィッチーズ
アリア・リンク,テガミバチ
細川可南子,マリア様がみてる
野井原緋鞠,おまもりひまり
ニチ・ケイト/イヴローニュ,STAR DRIVER 輝きのタクト
ささ美,ぬらりひょんの孫
春日楠,神のみぞ知るセカイ
浅間・智,境界線上のホライゾン
北条響/キュアメロディ,スイートプリキュア
越野夏子,ふたりはプリキュア
レオンミシェリ・ガレット・デ・ロワ,DOGDAYSシリーズ
にゃんぱいあ,にゃんぱいあ
ショコラーデ,ヨルムンガンド
パライエッタ,シムーン
神無月めぐみ,無敵看板娘
琴塚文江,宙のまにまに
原村和,咲-Saki-
水渕,GA芸術科アートデザインクラス
ミンタオ,宇宙をかける少女
魔王,まおゆう魔王勇者
麦野沈利,とある魔術の禁書目録/とある科学の超電磁砲
皇藍華（若年期）,AIKa（R-16、ZERO）
呼子笛,めだかボックス
纏流子,キルラキル
フランベルジュ,ダンタリアンの書架
木野まこと/セーラージュピター,美少女戦士セーラームーンCrystal
上原由衣,名探偵コナン
百合川このみ,ユリ熊嵐
エルシャ,クロスアンジュ天使と竜の輪舞
大沢南,ディーふらぐ!
ミランダ・ロットー,D.Gray-man HALLOW
川崎沙希,やはり俺の青春ラブコメはまちがっている。
リディ,シュガーバニーズ フルール
竹ノ宮ケイト,監獄学園
金剛叶,干物妹!うまるちゃん
司馬未織,ブラック・ブレット
近衛靄子,姉ログ
美雲・ギンヌメール,マクロスΔ
高槻やよい,アイドルマスターXENOGLOSSIA
テューレ,GATE自衛隊彼の地にて、斯く戦えり
シャウラ・ゴーゴン,ソウルイーターノット!
一条雫,アリスと蔵六
バイラ,遊戯王VRAINS
尾崎紅葉,文豪ストレイドッグス
斉藤奈緒,心霊探偵八雲
ユティ・ラー,ヒロイック・エイジ
汐崎琴美,あさっての方向。
松原飛鳥,生徒会の一存 Lv.2
ネグレリア・ネビロス,これはゾンビですか?
水谷衣楠,この中に1人、妹がいる!
シフル・フラン,舞-乙HiME 0〜S.ifr〜
藤枝美緒,Phantom〜Requiem for the Phantom〜
クノイチ・風魔小太郎,戦国コレクション
ヴィクトリア・ウッド,テラフォーマーズ「バグズ2号編」
新門めぐみ,トミカハイパーレスキュードライブヘッド~機動救急警察~
ソース,ゾイドワイルド
ラキュース・アルベイン・デイル・アインドラ,オーバーロード
"",""
