ボルフォッグ,勇者王ガオガイガー
マーカー,PAPUWA
ハジ,BLOOD+
カミナ,天元突破グレンラガン
マッケン,天元突破グレンラガン
洸,モノクローム・ファクター
フェニックス一輝,聖闘士星矢(OVA)
蒼摩,聖闘士星矢Ω
ファン・ヒューリック,TYTANIA
田中トム,デュラララ!!
高野政宗,世界一初恋
花開院竜二,ぬらりひょんの孫
男鹿辰巳,べるぜバブ
アメリカ,AxisPowersヘタリア
カナダ,AxisPowersヘタリア
オズマ・リー,マクロスF
常勤パンダさん,しろくまカフェ
敦賀蓮,スキップ・ビート!
ザナーク・アバロニク,イナズマイレブンGOクロノ・ストーン
市川座名九郎,イナズマイレブンGOギャラクシー
梶本貴久,テニスの王子様
浅野啓吾,BLEACH
檜佐木修兵,BLEACH
ガリューン,電脳冒険記ウェブダイバー
阿弥陀丸,シャーマンキング
ラキスト・ラッソ,シャーマンキング
ジョン・デンバット,シャーマンキング
カネマール,ボボボーボ・ボーボボ
竜造寺紫苑,ガンパレード・オーケストラ
八軒慎吾,銀の匙 SilverSpoon
鬼眼の狂,SAMURAIDEEPERKYO
壬生京四郎,SAMURAIDEEPERKYO
雨流俊樹,GetBackers
美里薫,もやしもん
ヨハン・トリニティ,機動戦士ガンダム00
ラルゴ・ロイド,テガミバチ
火野ケンイチ,ロックマンエグゼ
フューレ・タクト,スクラップド・プリンセス
閑馬永空,無限の住人
渋谷勝利,今日からマ王!
ラドゥ・バルフォン,トリニティ・ブラッド
アッシュ,メルヘヴン
我妻草灯,LOVELESS
メリヒム,灼眼のシャナ
紅蓮,少年陰陽師
コムイ・リー,D.Gray-man
野々原楓,ハヤテのごとく!
グランドコンボイ,トランスフォーマースーパーリンク
風間翔一,真剣で私に恋しなさい!!
ホイスト,ファイ・ブレイン
アール,ヨルムンガンド
ラクサス・ドレアー,FAIRYTAIL
黒妻綿流,とある科学の超電磁砲
岸田オサム,カードファイト!!ヴァンガード
研美悠士,セイクリッドセブン
松本政宗,HIGHSCORE
ギニュー,ドラゴンボール改
ハマー,ピューと吹く!ジャガー(OVA)
ウーメン梅田,トリコ
ブランチ(2代目)※故・檀臣幸の後任。,トリコ
黄長瀬紬,キルラキル
ガッツ,キルラキル
ベルゼブブ,鬼灯の冷徹
風間堅次,ディーふらぐ!
亜門鋼太朗,東京喰種
ブラート,アカメが斬る!
シャプール,アルスラーン戦記
カガミ(画像右),乱歩奇譚
ガクト,監獄学園
九印,うしおととら
シープスヘッド,ONEPIECE
タンクトップマスター,ワンパンマン
キタキタおやじ,魔法陣グルグル
スピネル・サン,カードキャプターさくら(真の姿)
ベーコンムシャムシャくん,ポプテピピック ※第8話Bパート
ピニオン,翠星のガルガンティア
鯉登少尉,ゴールデンカムイ
マックス,SSSS.GRIDMAN
