徳川茂茂,銀魂
鬼柳京介,遊戯王5D's
荒井一市,君に届け
貴志部大河,イナズマイレブンGO
塚原要,君と僕。
火神大我,黒子のバスケ
唐沢としゆき,男子高校生の日常
人吉善吉,めだかボックス
カンナギ,アラタカンガタリ
芦屋四郎/アルシエル,はたらく魔王さま!
ソラ・リュウヨウ,バトルスピリッツソードアイズ
犬塚キューマ,革命機ヴァルヴレイヴ
クーゲル,翠星のガルガンティア
絹川泰介,ぎんぎつね
マキシウス,神羅万象~天地神明の章~※Webアニメ
ジョナサン・ギスターブ,機動戦士ガンダムAGE
デモン・ラージ,機動戦士ガンダムAGE
伊佐敷純,ダイヤのA
モラル,ハマトラ
稲田真一郎,銀の匙
篠塚英二,夜桜四重奏～ハナノウタ～
ディミトリエ・ヴァトラー,ストライク・ザ・ブラッド
堀政行,月刊少女野崎くん
六条千景,デュラララ!!×2
東方仗助,ジョジョの奇妙な冒険ダイヤモンドは砕けない
イサミ・アルディーニ,食戟のソーマ
千駄ヶ谷鉄,SERVAMP
徳川翔,チア男子!!
獅示,カーニヴァル
五十嵐祐輔,私がモテてどうすんだ（アニメ版）
冬空コガラシ,ゆらぎ荘の幽奈さん
東谷准太,抱かれたい男1位に脅されています。
