パフィン,Axis Powers ヘタリア
フランス,Axis Powers ヘタリア
ケルベロス(真の姿),カードキャプターさくら
ロウ・ギュール,機動戦士ガンダムSEEDASTRAY
ジノ・ヘルナンデス,キャプテン翼J
桜宮健太,キルラキル
尾美一,銀魂
キン肉万太郎,キン肉マンⅡ世
宮永界,咲-Saki-
アレッシー,ジョジョの奇妙な冒険 スターダストクルセイダース
相田彦一,スラムダンク
安田靖春,スラムダンク
ヒドラの市,聖闘士星矢Ω
ピエール・ヴィエラ,創聖のアクエリオン
井川強,ツヨシしっかりしなさい
桃城武,テニスの王子様
リーロン,天元突破グレンラガン
ヴァッシュ・ザ・スタンピード,トライガン
バータ,ドラゴンボール改
鉄平,トリコ
千堂武士,はじめの一歩
アイザック・ディアン,BACCANO!＊1
エドワード・フォッカー,パワーストーン
ヒロシ（加藤浩志）,ビー・バップ・ハイスクール
ジェダイト,美少女戦士セーラームーン
平子真子,BLEACH
マサキ,ポケットモンスター
ポプ子,ポプテピピック（第8話Bパート）
首領パッチ,ボボボーボ・ボーボボ
高倉武男,魔法使いTai!＊2
ナナシ,MÄR
ハラルド,遊戯王5D's
ミッチー,妖怪ウォッチ シャドウサイド
アザゼル篤史,よんでますよ、アザゼルさん。
荒駒虎吉,ロックマンエグゼ
ぷりぷりプリズナー,ワンパンマン
スパンダム,ONEPIECE
チュウ,ONEPIECE
