スレイン・トロイヤード,アルドノア・ゼロ
F・ボルト,あはれ!名作くん
浅永瞬(右側),エンドライド
坂ノ上おじゃる丸(17歳),おじゃる丸
百夜ミカエラ,終わりのセラフ
神尾悟,ぎんぎつね
黒子テツヤ,黒子のバスケ
永束友宏,聲の形
ジョセフ,純潔のマリア
舞山春,少年ハリウッド
ジョルノ・ジョバァーナ,ジョジョの奇妙な冒険 黄金の風
古森太郎,神霊狩/GHOST HOUND
那雪透,スタミュ
キグナス氷河,聖闘士星矢 Legend of Sanctuary
豊臣秀頼,戦国無双
アラシ,ゾイドワイルド
鏑木彗,蒼穹のファフナー EXODUS
轟雷市,ダイヤのA
田中,田中くんはいつもけだるげ
奈良シカダイ,BORUTO -NARUTO THE MOVIE-
榎田,博多豚骨ラーメンズ
太公望,覇穹 封神演義
クローバー,映画プリキュアスーパースターズ!
芥川龍之介,文豪ストレイドッグス
リョウ,ポケットモンスター ダイヤモンド&パール
アラン,ポケットモンスターXY特別編 最強メガシンカ
練白龍,マギ
榊遊矢,遊戯王ARC-V
ユーリ,遊戯王ARC-V
ピチット・チュラノン,ユーリ!!!onICE
剣美親,ラクエンロジック
海崎新太,ReLIFE
進藤ユータ,WWW.WORKING!!
