早乙女乱馬,らんま1/2
犬夜叉,犬夜叉
工藤新一,名探偵コナン
怪盗キッド/黒羽快斗,まじっく快斗/まじっく快斗1412
ヤッ太郎,キャッ党忍伝てやんでえ
前鬼,鬼神童子ZENKI
五九,アソボット戦記五九
フラッピ,ふたりはプリキュアSplashStar
サイ・サイシー,機動武闘伝Gガンダム
ウソップ,ONEPIECE
榎木拓也,赤ちゃんと僕(右側)
ヨルン・コットゥ,ヱデンズボゥイ
トチロー,ガンフロンティア
岩城友紀,りぜるまいん
宇津美雷,勇者指令ダグオン
極十郎太,疾風!アイアンリーガー
えん魔くん,Dororonえん魔くんメ～ラめら
チャッピー,PAPUWA
陣,幽遊白書
たこやきブルー,たこやきマントマン
ラットル,ビーストウォーズ
雷門太郎,アイシールド21
チェシャ猫,PandoraHearts
トロロ新兵,ケロロ軍曹
宗屋ヒデヨシ,うえきの法則
エテ吉,ジャングルの王者ターちゃん(左側)
六太,十二国記
フェイタン,HUNTER×HUNTER
カイル・ブロフロフスキー,サウスパーク
藤野,あたしンちシリーズ
ディアガー,探検ドリランド
フォーエバー,ジョジョの奇妙な冒険 スターダストクルセイダース
赤林海月,デュラララ!!×2
花房牧之介,忍たま乱太郎
L,DEATH NOTE
六道鯖人,境界のRINNE
ワンダ(左側),カミワザ・ワンダ
豊臣秀幸,スーパーヅガン(画像中央)
ピクルス,ケチャップ
蒼斧蛍汰,ベターマン
がりぞー,はなかっぱ
山口ツトム,ご近所物語(右側)
カイル・ムーン,超者ライディーン
末武健太,せんせいのお時間(左側)
板橋渉,D.C.II 〜ダ・カーポII〜
出口智志,ONEOUTS
エト,ロードス島戦記
アラベル・ゾイ(第2部),機動戦士ガンダムAGE
ミケランジェロ,ミュータントタートルズ
バッグス・バニー,ルーニー・テューンズ
春一,鬼灯の冷徹
