加持リョウジ,新世紀エヴァンゲリオン
トグサ,攻殻機動隊
スパイク・スピーゲル,カウボーイビバップ
霞拳志郎,蒼天の拳
銭形警部(2代目),ルパン三世
真田一機,はじめの一歩
アベルト・デスラー,宇宙戦艦ヤマト2199
ドンキーコング,ドンキーコング
ハーロック,SPACE PIRATE CAPTAIN HERLOCK
響良牙,らんま1/2
呪泉郷のガイド,らんま1/2
バナナーン,元気爆発ガンバルガー
渡部クラマ,魔神英雄伝ワタル
ゾロリ,かいけつゾロリ
シルバ=ゾルディック,HUNTER×HUNTER2011年版
錦小路はるか,どっきりドクター
龍王リョウマ(右)、ナレーション,天空戦記シュラト
吉田松陽/虚,銀魂
カラ丸,キャッ党忍伝てやんでえ
二階堂修吾,イナズマイレブン
音村楽也,イナズマイレブン
ダスト・ジード,超音戦士ボーグマン
ヤッターワン他,ヤッターマン(平成版)
織田信太郎,スーパーヅガン
錠前屋の銀次郎,大江戸ロケット
寅次郎,男はつらいよ寅次郎忘れな草
浜崎伝助,釣りバカ日誌
アイザック・マクドゥーガル,鋼の錬金術師FULLMETAL ALCHEMIST
茅場晶彦,ソードアート・オンライン
猫田銀八(2代目),はじめの一歩
羽賀響輔,名探偵コナン
ドンキホーテ・ロシナンテ,ONEPIECE
有楽亭助六,昭和元禄落語心中
タケスズメ※1,魔法少女大戦
スコット・サマーズ/サイクロップス,X-MEN(テレビ東京版)
天津飯(代役),ドラゴンボールZ
お父さん,川の光※2
アオイ(攻殻機動隊),攻殻機動隊STAND_ALONE_COMPLEX
レイトン教授,レイトンミステリー探偵社〜カトリーのナゾトキファイル〜
鷺巣雄星,コンクリート・レボルティオ
