一方通行,とある魔術の禁書目録
ムサシ,しゅごキャラ!
神郷慎,ペルソナ〜トリニティ・ソウル〜
ルーク・エインズワース,聖剣の刀鍛冶
樫野真,夢色パティシエール
碓氷拓海,会長はメイド様!
武藤徹,屍鬼
滝口亮,デュラララ!!
犬神,ぬらりひょんの孫
平賀源二,バカとテストと召喚獣
新妻エイジ,バクマン。
奥村燐,青の祓魔師
枸雅匡平,神様ドォルズ
城戸研二,ギルティクラウン
輝島ナイト,セイクリッドセブン
木佐翔太,世界一初恋
イワン・カレリン/折紙サイクロン,TIGER&BUNNY
レイフォン・アルセイフ,鋼殻のレギオス
藤原夢路,夢喰いメリー
音無伊御,あっちこっち
大神零,CODE:BREAKER
ジョン・ブラウン,ゴーストハント
早乙女輝,メタルファイトベイブレード
黒銀ゼロ,メタルファイトベイブレードZERO-G
三木久也,べるぜバブ
ワタル,プリティーリズム・オーロラドリーム
サリュー・エヴァン(SARU),イナズマイレブンGOクロノ・ストーン
瑞希,神様はじめました
村雨,八犬伝-東方八犬異聞-
志島大地,DEVIL SURVIVOR 2 the ANIMATION
烏丸与一,明日のよいち!
西谷夕,ハイキュー!!
セルジュ・スタージョン,地球へ…
ロキ,機巧少女は傷つかない
カラシン,ログ・ホライズン
エイジ,サカサマのパテマ
凪田信二郎,キルラキル
日ノ原革,アラタカンガタリ
アンドロメダ瞬,聖闘士星矢LegendofSanctuary
早乙女与一,終わりのセラフ
小湊亮介,ダイヤのA
御子柴実琴,月刊少女野崎くん
嵐山准,ワールドトリガー
赤羽業,暗殺教室
ワンダーシェフ,テイルズオブシンフォニア（OVA版の特典DVD）
シンア,暁のヨナ
安藤寿来,異能バトルは日常系のなかで
目黒俄雨,隠の王
主人公(男の子),ポケットモンスターORAS
ダガー,黒執事 Book of Circus
ベート・ローガ,ダンジョンに出会いを求めるのは間違っているだろうか
辰己琉唯,スタミュ
七瀬月光,魔法戦争
爆豪勝己,僕のヒーローアカデミア
城田司,片翼のラビリンス
オビ,赤髪の白雪姫
黒木場リョウ,食戟のソーマ
篠原耕太,初恋モンスター
橋本一馬,チア男子!!
二海堂晴信,3月のライオン
デブリ,モンスターハンターストーリーズ RIDE ON
グラジオ,ポケットモンスター サン&ムーン
ももくり,桃月心也
ジョナサン・ミツヒロ・バートランド,蒼穹のファフナー EXODUS
平賀・ヨゼフ・庚,バチカン奇跡調査官
兵藤清春,ボールルームへようこそ
六角,夜桜四重奏
白亜翔,Re:CREATORS
レイド,魔法陣グルグル（第3作）
朝霧要,魔法少女サイト
憂城,十二大戦
神鍋歩夢,りゅうおうのおしごと!
アイザック・フォスター,殺戮の天使
樹状細胞,はたらく細胞
サカザキ・ケンタ,模型戦士ガンプラビルダーズ ビギニングG
徳川太助,宇宙戦艦ヤマト2199
ギアッチョ,ジョジョの奇妙な冒険 黄金の風
イスマイル,将国のアルタイル
