バン・フライハイト,ゾイド -ZOIDS-
青野月音,ロザリオとバンパイア
神山佐間太郎,神様家族
福士ミチル,テニスの王子様
黒城凶死郎,デュエル・マスターズ
重(初代),忍たま乱太郎
破天荒,ボボボーボ・ボーボボ
ルピ,BLEACH
玖蘭枢,ヴァンパイア騎士
高槻忍,純情ロマンチカ
ハワード・リンク,D.Gray-man
ザジ,テガミバチ
海原光貴,とある魔術の禁書目録
ジース,ドラゴンボール改
ロキ,FAIRYTAIL
トゥエンティ/二十里海,ミルキィホームズ
平和島幽,デュラララ!!
イタク,ぬらりひょんの孫
堂本海斗,マーメイドメロディーぴちぴちピッチ
高橋マクシミリアン,メガネブ!
ハンゾー(イラスト左),HUNTER×HUNTER(2011年版)
藤村省吾,ふたりはプリキュア
今鳥恭介,スクールランブル
炎呪,B-伝説! バトルビーダマン
夏目慎太郎,べるぜバブ
レイ,DD北斗の拳
鞍馬/KURAMA,神様はじめました
スティーリー・ダン,ジョジョの奇妙な冒険 スターダストクルセイダース
手嶋純太,弱虫ペダル
小松,トリコ(Jオリジナルアニメ)
米屋陽介,ワールドトリガー
ジェダイト,美少女戦士セーラームーンCrystal
ハイメ・アルカラス,カードファイト!!ヴァンガードG
鈴木葵、鈴木涼,おおきく振りかぶって
ジュスラン・タイタニア,TYTANIA
是国竜持,B-PROJECT
アイスバーグ(少年時代),ONEPIECE
ヴィト(イラスト左),ONEPIECE
