霧島海人,あの夏で待ってる
桜井良,黒子のバスケ
田中大智,TARITARI
相川進之介,銀の匙 SilverSpoon
降谷暁,ダイヤのA
五河士道,デート・ア・ライブ
前田一也（画像右）,フォトカノ
七瀬遙,Free!
長谷川現,pupa
マヘシュ・ミルザ/コードネーム：マハトマ・ガンディー,ノブナガン
タルジム・ヴァシリー,バディ・コンプレックス
リヴィウス・オルヴィヌス・イフリキア,それでも世界は美しい
真玉橋孝一,健全ロボダイミダラー
井美雪哉,グラスリップ
龍己,オレん家のフロ事情
アントニー・スタルク（※画像左）,バトルスピリッツ覇王
泉新一,寄生獣 セイの格率
観束総二,俺、ツインテールになります。
二宮シグレ,ミカグラ学園組曲
砂川誠,俺物語!!
ヒュース,ワールドトリガー
孫権ガンダム,SDガンダム三国伝
御門零央,蒼穹のファフナー EXODUS
灰吹陽,アクエリオンロゴス
死神,暗殺教室
黒騎猛,アクティヴレイド
マナト,灰と幻想のグリムガル
リヒト・ジキルランド・轟,SERVAMP
由多次人,キズナイーバー
片倉恵一,虹色デイズ
鷹取円,少年メイド
半田清,はんだくん
海藤瞬,斉木楠雄のΨ難
マレン・セイ,ハルチカ
茅野コウタ,ファンタシースターオンライン2 ジ アニメーション
六見遊馬,私がモテてどうすんだ
藤井司,君の名は。
イオク・クジャン,機動戦士ガンダム鉄血のオルフェンズ
神楽奏助,クラシカロイド
揚羽陸,スタミュ
ガユス・レヴィナ・ソレル,されど罪人は竜と踊る
丹羽花満,カブキブ!
ルーク(ルカサー=ハーデン),牙狼〈GARO〉-VANISHING LINE-
ユノ,ブラッククローバー
普賢真人,覇穹 封神演義
範馬刃牙,バキ
佐衛門三郎二朗,中間管理録トネガワ
ユージオ,ソードアート・オンライン
