トイレの花子さん,学校の怪談
酢乙女あい,クレヨンしんちゃん
離珠,まもって守護月天!
千影,シスタープリンセス
リノン・トロス,ゾイド新世紀/ゼロ
安藤まほろ,まほろまてぃっく
桜庭葵,藍より青し
日渡あや,らぶドル
ラフィール,星界の紋章・星界の戦旗
ヒカリ,この醜くも美しい世界
フウ,サムライチャンプルー
桜木茉莉,苺ましまろ
吉田一美,灼眼のシャナ
ミサキ・シズノ,ゼーガペイン
アンリエッタ・ド・トリステイン,ゼロの使い魔
三島塔子,夢使い
リリアーヌ,怪物王女
川田知子,キミキス
師走ミーナ,月面兎兵器ミーナ
桜野音羽,スカイガールズ
野田恵,のだめカンタービレ
源ちずる,かのこん
天条院沙姫,ToLOVEる
レイナ,クイーンズブレイド
シロン=ブーヤコーニッシュ,戦う司書
ローラ=スチュアート,とある魔術の禁書目録
秋田奈々緒,テラフォーマーズ(画像左)
アリス,Pandora Hearts
アヴィスの意志,PandoraHearts
リタ・エインズワース,さくら荘のペットな彼女
ウララ,ポケモンダイヤモンド&パール
紫乃宮まゐ/ヴィオレ魔ゐ,バトルスピリッツシリーズ
鶴ヶ谷おつう,オオカミさんと七人の仲間たち
外道丸,銀魂
常田鮎美/偽イカ娘,侵略!イカ娘
辻堂美由梨,聖痕のクェイサー
彩京朋美,れでぃ×ばと!
ハルミ,Dororonえん魔くんメ～ラめら
蒼樹紅,バクマン。
ジャンヌ・ダルク30世,緋弾のアリア
レッシー・アドネル,機動戦士ガンダムAGE
シムカ,エア・ギア(OVA)
ハインリーケ･P･Z･ザイン･ウィトゲンシュタイン,ストライクウィッチーズ(劇場版)
茂木なつき,頭文字D
エリナ・ペンドルトン,ジョジョの奇妙な冒険(TVアニメ)
ケイ,ガールズ&パンツァー
サラ・ハリファ,ギャラリーフェイク
縁川小石,おねがい☆ティーチャー/おねがい☆ツインズ
野火止初恵,ロウきゅーぶ!
エリー/リーシャ・バレンタイン,RAVE
姉御,大魔法峠
花代/雲上華代,selector
紅林遊月(1期8話以降),selector
都ゆかり,月刊少女野崎くん
カメのアユミ,天使のしっぽ
モッフル,甘城ブリリアントパーク
雪村あぐり,暗殺教室
伊吹かなみ,クビキリサイクル
ロレッタ,魔法つかいプリキュア!
セーラ・ウィーレック,奏光のストレイン
名瀬泉,境界の彼方
長森瑞佳,ONE～輝く季節へ～
リヴェリア・リヨス・アールヴ＊1,ソード・オラトリア
メルフィナ,星方武侠アウトロースター
ホロン,RD潜脳調査室
飛田小百合,極上生徒会
如月香澄,くじびきアンバランス
天王州アテネ,ハヤテのごとく!
春夏・ルシエラ,装神少女まとい
斉藤楓,機動天使エンジェリックレイヤー
海潮真波,破邪巨星Gダンガイオー(画像左)
紫東恵,ラーゼフォン
エルミナ,ぷちぷり*ユーシィ
10代目秋元才加,AKB0048(画像左)
不知火楓,ニニンがシノブ伝(画像右)
水原冬美,食戟のソーマ
多華宮小町,ウィッチクラフトワークス(画像左)
イクスヴェリア,ViVid Strike!
大野加奈子,げんしけん
小野原麻美,おくさまは女子高生
パピヨン・ノワール,勇者王ガオガイガー
三宮葵,終わりのセラフ
坂城真夜,競女!!!!!!!!(画像左)
折神朱音他,刀使ノ巫女
不動宮すみれ,初恋限定。
ヴィクトリア女王,黒執事
桜野タズサ,銀盤カレイドスコープ(画像左)
姫宮千歌音,神無月の巫女
かおん,京四郎と永遠の空
安岡紫音,しおんの王
檜原静流,もっけ
マスト細胞,はたらく細胞
綿月依姫,秘封活動記録
