伊藤誠,SchoolDays
天河優人,おまもりひまり
練白雄,マギ
赤羽隼人,アイシールド21
竜ヶ崎怜,Free!
柳生宗朗,百花繚乱SAMURAIGIRLS
風摩キリト,ダンボール戦機W
ドルベ,遊戯王ZEXALⅡ
チャーリー・マッコイ,遊戯王ZEXAL
桃タロー,鬼灯の冷徹
フランツ・デピネー,巌窟王
加賀北斗,ハヤテのごとく!
バルタンバトラー・バレル,大怪獣ラッシュ
燭,カーニヴァル
ヘンゼル,おとぎ銃士赤ずきん
スタースクリーム,トランスフォーマーアドベンチャー
エクシリオン,トランスフォーマーギャラクシーフォース
入江直樹,イタズラなKiss
花京院典明,ジョジョの奇妙な冒険 スターダストクルセイダース ※1
明智光秀（画像左）,殿といっしょ
四ツ葉春,アイカツ!
神様はじめました,翠郎
ハークライト,アルドノア・ゼロ
柊翼,スタミュ
アンドリュー・スコット,TIGER&BUNNY-The Rising-
ノリキ,境界線上のホライゾン
ネンジ,境界線上のホライゾン
篠原弘樹,宇宙戦艦ヤマト2199
田中功次,亜人(あじん)
エリシオ,キラキラ☆プリキュアアラモード
ダミアン・グレイ,Infini-TForce
竹中半兵衛,信長の忍び
太乙真人,覇穹封神演義
コマさん,妖怪ウォッチシャドウサイド
千本桜,BLEACH 斬魄刀異聞篇
東北ミヤギ,PAPUWA
棗坂シキ,Dance_with_Devils
