サルのモモ,天使のしっぽ
リュミエール,キディ・グレイド
ミンミン,ベイブレード
姉崎まもり,アイシールド21
カルーア・マジョラム/テキーラ・マジョラム,ギャラクシーエンジェる～ん
涼宮ハルヒ,涼宮ハルヒの憂鬱
中慈馬早苗,すもももももも 地上最強のヨメ
弥海砂,DEATH NOTE
しきみ,ひまわりっ!
武藤まひろ,武装錬金
パキラ,錬金3級まじかる?ぽか～ん
衛藤芽生,がくえんゆーとぴあ まなびストレート!
コキンちゃん,それいけ!アンパンマン
ガーネット・マクレーン,ドラゴノーツ
泉こなた,らき☆すた
長瀬湊,あかね色に染まる坂
九条美海,鉄のラインバレル
明石薫,絶対可憐チルドレン
美甘千津子(チコ),二十面相の娘
胡桃沢梅,君に届け
サーシャ,聖闘士星矢 THE LOST CANVAS 冥王神話
デンデ,ドラゴンボール改
ルーシィ・ハートフィリア,FAIRY TAIL
森川由綺,WHITE ALBUM
祇堂静珠,まりあ†ほりっく
ハンナ・アナフェローズ,黒執事Ⅱ
カーチャ/エカテリーナ=クラエ,聖痕のクェイサー
家長カナ,ぬらりひょんの孫
メンチ,HUNTER×HUNTER(2011年版)
神楽坂飛鳥,ルパン三世the Last Job
アリサ,ガールズ&パンツァー
パイマン,ガッチャマンクラウズ
能乃村歩巳,ヒャッコ
朝倉美羽,"劇場版 ""文学少女"""
今井信女,銀魂
ミギー,寄生獣(TVアニメ版)
レツ,劇場版HUNTER×HUNTER
刀祢大和※画像左,電波教師
"",""
