ラッカ,灰羽連盟
風祭りんな,宇宙のステルヴィア
苗木野そら,カレイドスター
マイルス”テイルス”パウアー,ソニックX以降
東谷小雪,ケロロ軍曹
エバ,魔法少女隊アルス
アリス・キャロル,ARIA
白鳥鈴音,ぱにぽにだっしゅ!
アンナ・ユーリエウナ・ココロウァ,魔法先生ネギま!(第1期のみ)
徳川そよ,銀魂
フランカ・ドックリー,コヨーテラグタイムショー
乱崎雹霞,狂乱家族日記
春日野日和,スケッチブックFULLcolor's
丸蔵兆治(マルチョ),爆丸
シャーネ・ラフォレット,BACCANO!
川添珠姫,バンブーブレード
白石なごみ,あかね色に染まる坂
岩下ルミコ,あにゃまる探偵キルミンずぅ
北岡ゆめ,かなめも
北条早雲,戦国コレクション
丘歩子,謎の彼女X
石垣環,大正野球娘。
エコー/ツヴァイ,PandoraHearts
リリィ白石,いちばんうしろの大魔王
真庭人鳥,刀語
ヨウ・マリノ/マンティコール,STAR DRIVER 輝きのタクト
ルチアナ・マッツェイ,ストライクウィッチーズ
山田葵,WORKING!!
大文字ナギサ,カードファイト!!ヴァンガード
篠田こまち,たまゆら～hitotose～
ハロ,機動戦士ガンダムUC
サザキ・ススム,ガンダムビルドファイターズ
サザキ・カオルコ,ガンダムビルドファイターズトライ
堕花雨,電波的な彼女
木霊,鬼灯の冷徹
市松こひな,繰繰れ!コックリさん
キシリアたん,ガンダムさん
ルナ,美少女戦士セーラームーンCrystal
峰田実,僕のヒーローアカデミア
ショコランシェ,ヒミツのここたま
オブシディアン,宝石の国
国木田歩,Free!-Dive to the Future-
柊ちはや,まじかるカナン(テレビアニメ版)
立津手トッタ,爆釣バーハンター
