芙蓉楓,SHUFFLE!
レイン,ふしぎ星の☆ふたご姫
近衛七海,ラムネ
高島一子,乙女はお姉さまに恋してる
朝比奈みくる,涼宮ハルヒの憂鬱
スザンナ・ホプキンス,げんしけん2
小節あびる,さよなら絶望先生
ケイト,スケッチブックFULLcolor's
マキナ,ドラゴノーツ -ザ・レゾナンス-
ベール＝ゼファー,ナイトウィザード
ヒロ,ひだまりスケッチ
ゴットゥーザ様,らき☆すた
久遠寺未有,君が主で執事が俺で
平塚雷蝶,狂乱家族日記
きらら,銀魂
アーニャ・アールストレイム,コードギアス反逆のルルーシュシリーズ
モニカ・クルシェフスキー,コードギアス
メナス,クイーンズブレイド
鳳統/雛里,真・恋姫†無双
リアンノン,ティアーズ・トゥ・ティアラ
ジャクリーン,荒川アンダーザブリッジ
真那香織,おおかみかくし
エリカ・ドラクール・ドレイプニルス,アスタロッテのおもちゃ!
鳳鳴,俺たちに翼はない
茶々丸,にゃんぱいあ
黛由紀江,真剣で私に恋しなさい!!
鹿目詢子,魔法少女まどか☆マギカ
春風,BabyPrincess
早坂日和,みずいろ
香坂アリス,水月
ファルネーゼ,ベルセルク
ネージュ,ロックマンゼロ
ポムニット,サモンナイト4
シエラ,リヴィエラ
リエル,クイズマジックアカデミー
ポイニー・クーン,オトメディウス
嘉神川クロエ,メモリーズオフ
双葉理保(理保),SIMPLEシリーズなど･ドリームクラブ
浜木綿えびの,マリッジロワイヤル
スパイダー菊池,リング☆ドリーム
ヴァンプ鈴森,リング☆ドリーム
才川ジョージー,小林さんちのメイドラゴン
フォーチュン,アズールレーン
ルフィーナ・ジェミナイ,エクシズ・フォルス
