夢野琴,おねがいマイメロディ
九鳳院紫,紅kure-nai
遠岡アキラ,屍姫
ぶど子,アキカン!
御子神リコ,あにゃまる探偵キルミンずぅ
アメリ,ジュエルペット
天野いちご,夢色パティシエール
ころね,いちばんうしろの大魔王
青山美生,神のみぞ知るセカイ
桐敷沙子,屍鬼
寒凪乃絵留,ソ・ラ・ノ・ヲ・ト
辰野俊子,それでも町は廻っている
ミナ・ツェペッシュ,ダンスインザヴァンパイアバンド
アイリス,ポケットモンスター ベストウイッシュ
アリス・ブランシュ,異国迷路のクロワーゼ
一井透,Aチャンネル
向井・鈴,境界線上のホライゾン
ヴィクトリカ・ド・ブロワ,GOSICK
谷村千秋,べるぜバブ
中村あいか,ペルソナ4 The Animation
白粉花,ベン・トー
鹿目まどか,魔法少女まどか☆マギカ
ジゼル・コレット・ヴィント,ラストエグザイル-銀翼のファム-
高鴨穏乃,咲-Saki-阿知賀編episode of side-A
立花響,戦姫絶唱シンフォギア
りんごちゃん,男子高校生の日常
クーベル・エッシェンバッハ・パスティヤージュ,DOGDAYS
菜花黄名子,イナズマイレブンGOクロノ・ストーン
キャロル・ドジソン,探偵歌劇ミルキィホームズTD
ライバるん,ゆるゆり
森村好葉,イナズマイレブンGOギャラクシー
連坊小路アキラ,革命機ヴァルヴレイヴ
キララ,ガンダムビルドファイターズ
クレア・クルス/ニナ・ヴィエント,とある飛空士への恋歌
比企谷小町,やはり俺の青春ラブコメはまちがっている。
隼鷹・フィオナ・ウェインバーグ,バディ・コンプレックス
多々音めめ,ソウルイーターノット!
蛭子小比奈,ブラック・ブレット
吟遊院芹香,彼女がフラグをおられたら
新ケロロ、ブラックスター,ケロロ軍曹
方中ミエル,遊戯王ARC-V
ジン・ヴァレル,ブレイドアンドソウル
コラマ,六畳間の侵略者!?
お市,信長協奏曲
ディアンヌ,七つの大罪
ユウキ/紺野木綿季,ソードアート・オンライン
百合園蜜子,ユリ熊嵐
滝川ノア,山田くんと7人の魔女
漆原静乃,聖剣使いの禁呪詠唱
クルル・ツェペシ,終わりのセラフ
江波倉子,氷菓
中居芙奈子,名探偵コナン
クレマンティーヌ,オーバーロード
戦慄のタツマキ,ワンパンマン
未空イナホ,妖怪ウォッチ
ネコ2世,妖怪ウォッチ
天野ナツメ,妖怪ウォッチシャドウサイド
柳生十兵衛,百花繚乱サムライガールズ
フレミー・スピッドロウ,六花の勇者
安久黒奈,東京喰種
島麒麟,緋弾のアリアAA
マスクの人,じょしらく
雛月加代,僕だけがいない街
蛙吹梅雨,僕のヒーローアカデミア
綾里真宵,逆転裁判 〜その「真実」、異議あり!〜
田中ゆとり,ゆとりちゃん
田中莉乃,田中くんはいつもけだるげ
天河舞姫,クオリディア・コード
ドロシー,ディバインゲート
玖渚友,戯言シリーズ
藤川歌夜,ステラのまほう
西宮結絃,聲の形
名取早耶香,君の名は。
ターニャ・デグレチャフ,幼女戦記
ロッタ・オータス,ACCA13区監察課
モーガン・ル・フェイ,弱酸性ミリオンアーサー
キノ,キノの旅※(2017年版)
朧(幼少期),銀魂
ロシア娘,ヘタリア(OVA)
花畑よしこ,アホガール
クック,映画キラキラ☆プリキュアアラモード_パリッと!想い出のミルフィーユ!
ポプ子,ポプテピピック第2話Aパート
ミサキ,博多豚骨ラーメンズ
滝夜叉姫,鬼灯の冷徹
サイト管理人・弐,魔法少女サイト
香坂秋穂,僕の彼女がマジメ過ぎるしょびっちな件
メリ,RADIANT-ラディアン-
アリサ,デスマーチからはじまる異世界狂想曲
高城めぐみ,3月のライオン
ダンタリオン,ベルゼブブ嬢のお気に召すまま。
“私”,蜘蛛ですが、なにか?
山崎宗介(小学生時代),Free!
ボラー,SSSS.GRIDMAN
コロンビーヌ,からくりサーカス
妖姫・七殺天凌,Thunderbolt Fantasy 東離劍遊紀2
ブギーポップ / 宮下藤花,ブギーポップは笑わない(2018年版)
