セラス・ヴィクトリア,HELLSING
ちせ,最終兵器彼女
シエル,真月譚月姫
松岡美羽,苺ましまろ
小此木優子/ヤサコ,電脳コイル
片桐姫子,ぱにぽにだっしゅ!
柳生九兵衛,銀魂
レディ,デビルメイクライ
上下山虎子,ヒャッコ
小芹アイ,ライブオン
ピアニっち,たまごっち!
リザ・ホークアイ,鋼の錬金術師　FULLMETAL ALCHEMIST
西村ハル,亡念のザムド
牧野留姫,デジモンテイマーズ
ベル,ドラえもん（テレビ朝日版第2期）
結城澪呼,SKET DANCE
桃井さつき,黒子のバスケ
黒鳥千代子,黒魔女さんが通る!!
コルト,モンスターファーム
ミス・バレンタイン,ONEPIECE
立花みかん,あたしンちシリーズ
二階堂凛子,キン肉マンⅡ世
柚姫,ちょびっツ
ヒカリ,灰羽連盟
藤沢やよい,宇宙のステルヴィア
篠塚アラシ,GAD GUARD
シェリー,金色のガッシュベル!!
パシフィカ・カスール,スクラップド・プリンセス
菊原香鈴,ストラトス・フォー
柚木頼子,BPSバトルプログラマーシラセ
メイリン・ホーク,機動戦士ガンダムSEEDDESTINY
エステル・エイン艦氏族・アストラーダ,絢爛舞踏祭
キララ,SAMURAI7
マドカ,陰陽大戦記
高岸あずさ,ハートキャッチプリキュア
南野奏/キュアリズム,スイートプリキュア
津崎青葉,JINKI:EXTEND
シャーリー・フェネット,コードギアスシリーズ
アトル,天保異聞 妖奇士
フィリエル・ディー,西の善き魔女
カーヤ,ドルアーガの塔
ニコレッタ,リストランテ・パラディーゾ
メイア・ギズボーン,ヴァンドレッド
村崎,夏目友人帳
ヴァサント,ラストエグザイル-銀翼のファム-
カルネ,ポケットモンスターXY
佳穂,八犬伝-東方八犬異聞-
ティカ,黒魔女さんが通る!!
笛口リョーコ,東京喰種トーキョーグール
リーベルト,マジンボーン
リーフ・ラング・ド・シャー・ハルヴァー,DOGDAYS´´
四葉美里,かみさまみならい ヒミツのここたま
ミシル,かみさまみならい ヒミツのここたま
アルテミス,ラクエンロジック
夜久月子,Starry☆Sky
日崎御角,うしおととら（TVアニメ版）
ワンダ,ONE PIECE
ロッテ・ヤンソン,リトルウィッチアカデミア
緋桜閑,ヴァンパイア騎士（TVアニメ）
しらたき姫,それいけ!アンパンマン
冬月あずさ※メイン画像、右の人物。,GTO
常盤香苗※メイン画像、左の人物。,ケロロ軍曹
青木春香,妖怪アパートの幽雅な日常
