立花宗茂,戦国☆パラダイス-極-(左側)
上条春太,〈ハルチカ〉シリーズ
山口忠,ハイキュー!!
龍炎寺タスク,フューチャーカード バディファイト
タツミ,アカメが斬る!
五十里啓,魔法科高校の劣等生
館林元成,弱虫ペダル
ツエルブ(久見冬二),残響のテロル
詰城祐太朗,アルドノア・ゼロ
シャドウ・ジョーカー,怪盗ジョーカー
向井太陽,ダイヤのA
スァロゥ・クラツヴァーリ,ケイオスドラゴン赤竜戦役
アドレット・マイア,六花の勇者
架印,境界のRINNE
Lie Ren,RWBY(吹替版)
吉貞伸弘,バッテリー
野々柊,ブブキ・ブランキ
太刀花ユキノジョウ,KING OF PRISM
ヤマギ・ギルマトン,機動戦士ガンダム 鉄血のオルフェンズ
ルスラン・カシモフ(左側),イナズマイレブンGOギャラクシー
氷浦貴利名,イナズマイレブン アレスの天秤
朱雀壱弥,クオリディア・コード
鉤貫レム,Dance with Devils
トクサ,D.Gray-man HALLOW
エルメス,キノの旅※4
グレン=レーダス,ロクでなし魔術講師と禁忌教典
若武和臣(右側),探偵チームKZ事件ノート
ポプ子,ポプテピピック ※第9話Bパート
キャシャーン／東鉄也,Infini-T Force
ヘルメス,ダンジョンに出会いを求めるのは間違っているだろうか
コルテオ,91Days
内海将,SSSS.GRIDMAN
本田,ガイコツ書店員本田さん
