レイヴン,ゾイド
伊達京介,ソウルテイカー
ジン,王ドロボウJING
MAKUBEX,GetBackers
ハインケル・ウーフー,HELLSING
イザム,小さな巨人ミクロマン
伊集院炎山,ロックマンエグゼシリーズ
マリア・ロス,鋼の錬金術師（2003年版）
カン,SHIN-MEN（クレヨンしんちゃん）
沖田総司,PEACEMAKER鐵
シュウ,ポケットモンスターAG
フォンビーレフェルト卿ヴォルフラム,今日からマ王!シリーズ
ロベルト・ハイドン,うえきの法則
ファントム,メルヘヴン
リン＝シャオリー,BLACKCAT
原田千絵,舞-HiME
チエ・ハラード,舞-乙HiME
フランシス・ハーコート、キース・ハーコート,明日のナージャ
目奈津生,LOVELESS
三枝敏雄,妖逆門
アデーレ,英國戀物語エマ
デビット,D.Gray-man
ジョミー・マーキス・シン,地球へ…
デイン,デルトラクエスト
結城蛍,もやしもん
リヴァイヴ・リバイバル,機動戦士ガンダム00
神生真世,屍姫
三条海里,しゅごキャラ!
灰翅,セキレイ
宵風,隠の王
今福彦四郎,忍たま乱太郎
深堀純代,咲-Saki-
弘世菫,咲-Saki-
テイト=クライン,07-GHOST
葉月水無,DARKER_THAN_BLACK 流星の双子
蛇尾丸/猿女,BLEACH
鯉淵蔵之介,海月姫
李赤雲,メタルファイトベイブレード
浅井長政,織田信奈の野望
アタリ・コウ,STAR DRIVER 輝きのタクト
しょうけら,ぬらりひょんの孫
八王子泪,CODE:BREAKER
速水瑛良,黒魔女さんが通る!!
ヨーハン,灼眼のシャナ
霧野霧彦,カスミン
因幡遥,キューティクル探偵因幡
ゾロスター,デュエル・マスターズ ビクトリーV3
KT,イクシオンサーガDT
スワンイクシード,ビーストサーガ
恭宇夜,ストレンジ・プラス
如月斬夜,フューチャーカード バディファイト
ソロモン,魔界王子 devils and realist
アカツキ・アキラ,ディスク・ウォーズ:アベンジャーズ
ライフ・クール,ユリ熊嵐
紫京院ひびき,プリパラ
那須与一,ドリフターズ
日野祐司,少年メイド
二条朔也,NORN9
清華,SUPERLOVERS
小楯衛,蒼穹のファフナー
