五月七日小羽,xxxHOLiC
アン・シャーリー,こんにちはアン
打ち止め(ラストオーダー),とある魔術の禁書目録
凍空こなゆき,刀語
ヨウ・ミズノ,STARDRIVER輝きのタクト
桜沢みみな,れでぃ×ばと!
さくらん,ジュエルペットサンシャイン
豊臣ヒデヨシ,戦国乙女桃色パラドックス
鏑木楓,TIGER&BUNNY
如月みなと,夢喰いメリー
香椎愛莉,ロウきゅーぶ!
上月由仁子,アクセル・ワールド
りのん,あの夏で待ってる
白鬼院凜々蝶,妖狐×僕SS
シリカ/綾野珪子,ソードアート・オンライン
大室花子,ゆるゆり
萌木甘奈,萌えCanちぇんじ!
嵯峨良芽依,この中に1人、妹がいる!
北白川あんこ,たまこまーけっと
星月・フェラーリ,ガリレイドンナ
イ400,蒼き鋼のアルペジオ -アルス・ノヴァ-
藍原延珠,ブラック・ブレット
夜祭アカリ,キャプテン・アース
暁凪沙,ストライク・ザ・ブラッド
ネメシス,ToLOVEるダークネス
イリス・フレイア,銃皇無尽のファフニール
千波花音,電波教師
小坂結季奈,ローリング☆ガールズ
ハードゴア・アリス,魔法少女育成計画
ロージア,SHOWBYROCK!!
シェリー・ノール・テュエリ,自衛隊彼の地にて、斯く戦えり
すみれ,リルリルフェアリル
玉置亜子,ネトゲの嫁は女の子じゃないと思った?
花酒蕨,武装少女マキャヴェリズム
プレラーティ,戦姫絶唱シンフォギアAXZ
坂柳有栖,ようこそ実力至上主義の教室へ
川島麗,食戟のソーマ
貫井くるみ,天使の3P!
霞み妖精ジャスミン,デュエル・マスターズ
雛鶴あい,りゅうおうのおしごと!
秋野美陽,若おかみは小学生!
倉井朔夜,となりの吸血鬼さん
