浅倉南,タッチ
安川ユミ子,T・Pぼん
ピーターパン,ピーターパンの冒険
天道あかね,らんま1/2
ジャン・ロック・ラルティーグ,ふしぎの海のナディア
一撃弾平,炎の闘球児 ドッジ弾平
しいねちゃん,赤ずきんチャチャ
雪見ソウシ,飛べ!イサミ
瀬田宗次郎,るろうに剣心
一文字烈矢,爆走兄弟レッツ&ゴー!!MAX
リーゼ,ゾイド
桔梗,犬夜叉
ベルメール,ONEPIECE
大園まりこ、大園ゆりこ,ロックマンエグゼ
アンチョビ,コロッケ!
白井甘子,ついでにとんちんかん
ニア,DEATH NOTE
アフロディテ,スイートプリキュア
スターラ姫,日常
シャルナーク,HUNTER×HUNTER(2011年版)
世良真純,名探偵コナン
タカヤノリコ,トップをねらえ!
草壁サツキ,となりのトトロ
トオイ,劇場版ポケットモンスター AG 裂空の訪問者 デオキシス
レニー・アイ,忍者戦士飛影
ハーリー,はりもぐハーリー
阿,京騒戯画
ドミネーター,PSYCHO-PASS
ことりの母,ラブライブ!
丹下順子,"WakeUp,Girls!"
ヘレン,ソニックX
小野麗子(女暴小町),よろしくメカドック
シャイニィシャリオ／アーシュラ先生,リトルウィッチアカデミア
ヤーダ姫,ばいきんまんの逆襲
シュークリーム姫,それいけ!アンパンマン
ケーキちゃん,それいけ!アンパンマン
ツムちゃん,ざわざわ森のがんこちゃん
ピピ美,ポプテピピック※Bパート本編
バカボンのママ,深夜!天才バカボン
