川壁桃花,桃華月憚
結,セキレイ
コウ,我が家のお稲荷さま。
ラゼット,07-GHOST
ブルピャ,07-GHOST
イカロス,そらのおとしもの
矢来小夜,宙のまにまに
森美咲,東のエデン
結野嵐子,えむえむっ!
新垣あやせ,俺の妹がこんなに可愛いわけがない
皿場工舎,刀語
ハクア,神のみぞ知るセカイ
アゲマキ・ワコ,STAR DRIVER 輝きのタクト
亜豆美保,バクマン。
鶴見知利子/つるこ,あの日見た花の名前を僕達はまだ知らない。
ユリン・ルシェル,機動戦士ガンダムAGE
カップケーキちゃん,それいけ!アンパンマン
サチ,ソードアート・オンライン
沖田紗羽,TARI TARI
藤原高子,超訳百人一首 うた恋い。
崇宰恭子,トータルイクリプス
斧乃木余接,偽物語/物語シリーズ
十文字かほ,氷菓
カグラ・ミカヅチ,FAIRY TAIL
鈴原泉水子,レッドデータガール
アイラ・ユルキアイネン,ガンダムビルドファイターズ
レヴィアタン,絶対防衛レヴィアタン
雪ノ下雪乃,やはり俺の青春ラブコメはまちがっている。
櫛川鳩子,異能バトルは日常系のなかで
草薙結衣,神々の悪戯
高山やなぎ,グラスリップ
青山ブルーマウンテン,ご注文はうさぎですか?
神代小蒔,咲-Saki-全国編
井川絵見,四月は君の嘘
アーニャ・ヘプバーン,ソウルイーターノット!
おじょし様※画像左,凪のあすから
弓原雛/ヒナ・リャザン,バディ・コンプレックス
司波深雪,魔法科高校の劣等生
足須沙穂都,マンガ家さんとアシスタントさんと
ルースカニア・ナイ・パルドムシーハ,六畳間の侵略者!?
白雪,赤髪の白雪姫
柊シノア,終わりのセラフ
阿,SHOWBYROCK!!(アニメ)
リュー・リオン,ダンジョンに出会いを求めるのは間違っているだろうか
小笠原晴香,響け!ユーフォニアム
ギンガ・ナカジマ※1,魔法少女リリカルなのはシリーズ
白石うらら,山田くんと7人の魔女
フブキ,ワンパンマン
アウロラ,アンジュ・ヴィエルジュ
飯田小鳥,甘々と稲妻
フィーネ,終末のイゼッタ
はーちゃん/花海ことは/キュアフェリーチェ,魔法つかいプリキュア!
シスターナナ,魔法少女育成計画
和泉玲奈,無彩限のファントム・ワールド
其方美鈴,エルドライブ
アシス,実験品家族
氷無小雪,風夏
有栖川仁乃,覆面系ノイズ
朱里小十郎,政宗くんのリベンジ
ヴィクトーリヤ・イヴァーノヴナ・セレブリャコーフ,幼女戦記
蛇喰夢子,賭ケグルイ
カルディア,Code:Realize
砂粒,十二大戦
ゴーシェナイト,宝石の国
ココロ,ダーリン・イン・ザ・フランキス
リャナンシー,魔法使いの嫁
竜吉公主,覇穹 封神演義
白石結月,宇宙よりも遠い場所
ディーナ・デル・リオ,DOUBLE DECKER!ダグ＆キリル
