ナノナノ・プディング,ギャラクシーエンジェる～ん
鉄子,錬金3級 まじかる?ぽか～ん
クローム髑髏,家庭教師ヒットマンREBORN!
ヴァルダ,キスダム
柊まつり,らき☆すた
久能,セキレイ
アルセーヌ/アンリエット・ミステール,探偵オペラミルキィホームズ
サリ・サムダック,トランスフォーマーアニメイテッド
丸井ふたば,みつどもえ
コロコロ,gdgd妖精s
持田房子,gdgd妖精s
徳川イエヤス,戦国乙女〜桃色パラドックス〜
冬川来栖,そふてにっ
藤堂かのん,プリティーリズム・オーロラドリーム
太田紗,銀河へキックオフ!!
住友みのり,こはるびより(OVA)
浅野ユウキ,今日の5の2
市川,うみものがたり
チェギョン,プリティーリズム・ディアマイフューチャー
お春,ムシブギョー
観月あやね,八犬伝-東方八犬異聞-
エスデス,アカメが斬る!
安東テルハ,少女たちは荒野を目指す（※画像左）
佐藤陽菜,てさぐれ!部活もの
アッサム,ガールズ&パンツァー
佐倉サロメ・ハコ,スカーレッドライダーゼクス(TVアニメ版)
優,学園ハンサム
百式百子,ナンバカ
黒川茉莉,GATE 自衛隊彼の地にて、斯く戦えり
