更紗,BASARA
ミト,HUNTER×HUNTER(1999年版)
アズール,ビックリマン2000
橘杏,テニスの王子様
ロックマンEXE,ロックマンエグゼ
蒼崎青子,真月譚月姫
豊穣のルリ,陰陽大戦記
蔵前果林,蒼穹のファフナー　RIGHT OF LEFT
リラ,ポケットモンスター アドバンスジェネレーション
熟水天,ビックリマン2000
デルフィニウム,BLUE DRAGON
エル・スール,宇宙をかける少女
宇喜多万里香,ふたつのスピカ
妃魅禍,鋼鉄神ジーグ
馬神ハヤ美（2代目）＊1,バトルスピリッツ 少年突破バシン
フェイ・ルーン,イナズマイレブンGOクロノ・ストーン
ルカ・ミルダ,テイルズオブイノセンス
欅,.hack//G.U.
マーベット・フィンガーハット＊2,機動戦士vガンダム
岡田メグミ,ToHeart
レスキュー,コレクターユイ
二ノ舞きさらぎ,HAPPY★LESSON
ベリーナ,ポップンベリー
大西勇気,トランスフォーマーカーロボット
聖橋ケンタ,電光超特急ヒカリアン
水前寺小百合,出撃!マシンロボレスキュー
くろうさ（画像右）,シュガーバニーズ
リリエ・アディーン,舞-乙HiME
六角霧江（右側）,銀魂
