宗田真澄,RDG レッドデータガール
藤本高虎,青春×機関銃
シュラ,アカメが斬る!
門脇将人,アラタ カンガタリ〜革神語〜
アスタ(左側),イナズマイレブンGO vs ダンボール戦機W
道成達巳,イナズマイレブンアレスの天秤
西広辰太郎,おおきく振りかぶって
美剣咲夜,学園ハンサム
エルエルフ,革命機ヴァルヴレイヴ
枸雅阿幾,神様ドォルズ
ダリル・ローレンツ,機動戦士ガンダムサンダーボルト
浅羽祐希,君と僕。
十文字翼,境界のRINNE
八軒勇吾,銀の匙 Silver Spoon
黄瀬涼太,黒子のバスケ
チャールズ・グレイ,黒執事
影宮閃,結界師
若松博隆,月刊少女野崎くん
ロウレス,SERVAMP
神月凌吾,PSYCHO-PASS
鹿矛囲桐斗,PSYCHO-PASS2
西見薫,坂道のアポロン
降谷千紘,さんかれあ
櫻田修(右側),城下町のダンデライオン
神永,ジョーカー・ゲーム
リョウ・ギンタ(右側),STAR DRIVER 輝きのタクト
シュウ,センコロール
来主操,蒼穹のファフナー HEAVEN AND EARTH
霜月隼,ツキウタ。
阿刀冬児,東京レイヴンズ
西村悟,夏目友人帳
ハウザー,七つの大罪
木兎光太郎,ハイキュー!!
サイモン・カイナ,HEROMAN
滝沢朗,東のエデン
ブラッド・D・ブラッズ,ブラッドラッド
桜井英知,満月をさがして
藤見露召呂,僕のヒーローアカデミア（OVA）
羽瀬川小鷹,僕は友達が少ない
ジュダル,マギ
キース・エアロ・ウィンダミア,マクロスΔ
服部刑部少丞範蔵,魔法科高校の劣等生
高倉晶馬,輪るピングドラム
ペンギン二号,輪るピングドラム
木全隼人,メガネブ!
亀垣玄十郎,メタルファイトベイブレードZEROG
ブレイブ,遊戯王5D's
エンマ大王,妖怪ウォッチ
夜明了,ReLIFE
遠野日和,Free!-Dive to the Future-
今村耕平,ぐらんぶる
日向秀樹,AngelBeats!
バンブルビー,キュートランスフォーマー帰ってきたコンボイの謎（画像左下）
李ハンス,デビルズライン
