スイス,Axis Powers ヘタリア
朽葉,あまつき
シロップ/甘井シロー,Yes!プリキュア5 GoGo!
植木耕助,うえきの法則
雪緒,ウルヴァリン
相川摩季,エアマスター
シュウト,SDガンダムフォース
マジョラン,おジャ魔女どれみ
ババ,おジャ魔女どれみドッカ～ン!
日向棗,学園アリス
守山那由多,学園戦記ムリョウ
ルシール・ベルヌイユ,からくりサーカス
星明,牙狼 -紅蓮ノ月-
エマ・グスマン,牙狼〈GARO〉 -炎の刻印-
ルーカス・ネメシス,ガンダムビルドファイターズトライ
シャナルア・マレン,機動戦士ガンダムAGE
ニコル・アマルフィ,機動戦士ガンダムSEED（スペシャルエディション版）
リジェネ・レジェッタ,機動戦士ガンダム00
鬼龍院羅暁,キルラキル
伊良部一郎(小),空中ブランコ
テレサ,CLAYMORE
マダム・レッド,黒執事
ギュービッド,黒魔女さんが通る!!
カツシロウ,SAMURAI7
斉藤歩,しおんの王
道蓮,シャーマンキング
ハンジ・ゾエ,進撃の巨人
マオ・ルーシェン,ゼーガペイン
鴉羽,セキレイ
クルト・クーリック,創聖のアクエリオン＊1
クロエ・クーリック,創聖のアクエリオン＊2
ロラン・セアック,∀ガンダム
ハミュッツ=メセタ,戦う司書
ラバーシューター,男子高校生の日常
一乗寺賢/デジモンカイザー,デジモンアドベンチャー02
五十嵐丸太,デッドマン・ワンダーランド
ハラケン/原川研一,電脳コイル
大空レイジ,ドラゴンドライブ
小松,トリコ
大崎ナナ,NANA
テマリ,NARUTO
エドワード・エルリック,鋼の錬金術師/鋼の錬金術師 FULLMETAL ALCHEMIST
パクノダ,HUNTER×HUNTER(2011年版)
ヒゲぴよ,ヒゲぴよ
日番谷冬獅郎,BLEACH
四方谷裕史郎,プリンセス・プリンセス
ゾラ,ブルードラゴン(テレビアニメ版)
白鷺城ルイ,ベイブレードバースト
ウォルター・C・ドルネーズ（少年期）,HELLSING
パパラチア,宝石の国
ゾロアーク,劇場版ポケットモンスター ダイヤモンド&パール 幻影の覇者 ゾロアーク
篠塚弥生,WHITEALBUM
怪盗X,魔人探偵脳噛ネウロ
ヘイムダル,魔探偵ロキ
清水大河,メジャー
雲仙冥利,めだかボックス
ケイゾウ,妖怪ウォッチ2
前田昇,RAINBOW-二舎六房の七人-
マダム・シャーリー,ONEPIECE
