坂田銀時,銀魂
キョン,涼宮ハルヒの憂鬱
ジョセフ・ジョースター※2部時代,TVアニメ版ジョジョの奇妙な冒険/ジョジョASB
相沢祐一※2代目,Kanon
土見稟,TVアニメ版SHUFFLE!
本須和秀樹,ちょびっツ
グラディオン,電脳冒険記ウェブダイバー
スラッシュマン,ロックマンエグゼ
チェインバー,翠星のガルガンティア
笛吹和義,SKETDANCE
ヒデノリ,男子高校生の日常
アキラ・アガルカール・山田,つり球
宗像礼司,K
レオン,イクシオンサーガDT
星,荒川アンダーザブリッジ
真山巧,ハチミツとクローバー
都庁前,ミラクル☆トレイン
神崎一,べるぜバブ
青鬼院蜻蛉,妖狐×僕SS
鴆,ぬらりひょんの孫
ドラコーン,マギ
OVER,ボボボーボ・ボーボボ
皇昴流,X
煉骨,犬夜叉
ヨウラン・ケント,機動戦士ガンダムSEEDDESTINYテレビ版
シリウス・ド・アリシア,創聖のアクエリオン（※画像左）
レオン・三島,マクロスF
ハスガード,聖闘士星矢 THE LOST CANVAS 冥王神話
フェニックス一輝,聖闘士星矢Ω
マルロ・フロイデンベルク,進撃の巨人
エドガー・バルチナス,イナズマイレブン
之芭,BLEACH
六車拳西,BLEACH
ソルジャー・ブルー,地球へ…
ロノウェ,うみねこのなく頃に
後藤英徳,サムライフラメンコ
ピノクル,ファイ・ブレイン
レイジング鳳,うたの☆プリンスさまっ♪マジLOVE2000%
レイヴン,伯爵と妖精
蛭間一郎,テラフォーマーズ
カイバ先生,悪魔のリドル
烏間惟臣,暗殺教室
宝緑院兼続,バトルスピリッツ烈火魂
ケイスケ,咎狗の血
ウェル博士,戦姫絶唱シンフォギアG
悪松（※画像右）,おそ松さん
グラハム・スペクター,バッカーノ!
聖ジョルジョ,石膏ボーイズ
箱根強羅,美男高校地球防衛部LOVE!
サンジェルミ伯,ドリフターズ
影浦雅人,ワールドトリガー
阿久津明,アホガール
ルシル・エリス,伝説の勇者の伝説
ベートーヴェン,クラシカロイド
ゲルサドラ(青年),ガッチャマンクラウズインサイト
高田馬場ジョージ,KINGOFPRISM
弥太郎,キューティクル探偵因幡
ピピ美,ポプテピピック　※第5話Bパート
シャーロット・カタクリ,ONEPIECE
エスカノール,七つの大罪(漫画)
リヴェルト,モンスターハンターストーリーズ
速杉ホクト,新幹線変形ロボ_シンカリオン_THE_ANIMATION
好塩基球,はたらく細胞
