アッカァくん,アッカァくんのACCA講座
稲森明日人,イナズマイレブン アレスの天秤
伊削ヘイト,M3〜ソノ黒キ鋼〜
九ノ瀬宙太,エルドライブ【ēlDLIVE】
日下部憂,オオカミ少女と黒王子
ンフィーレア・バレアレ,オーバーロード
ジョーカー/ジャック・ジョーンズ,怪盗ジョーカー
爾乃美家累,ガッチャマン クラウズ
ウォリック・アルカンジェロ(少年期),GANGSTA.
パトリック・ホイル,銀河機攻隊マジェスティックプリンス
音無弓彦,コンクリート・レボルティオ〜超人幻想〜
ヒュー・ザ・ダーク・アルジャーノンⅢ世,SERVAMP -サーヴァンプ-
丸尾重虎,坂道のアポロン
フライデー,屍者の帝国
櫻田遥,城下町のダンデライオン
マフムート,将国のアルタイル
リク,SHOW BY ROCK!!
青沼瞬〈14歳〉,新世界より
アーク,神羅万象～天地神明の章～
石鏡悠斗,双星の陰陽師
長田伸一/レコン,ソードアート・オンライン
佐久間龍造,チア男子!!
アレン・ウォーカー,D.Gray-man HALLOW
飛鳥了/サタン,Devilman Crybaby
水谷隆也,となりの怪物くん
助蔵,信長の忍び(画像右)
アントニ・ガウディ,ノブナガン
日向翔陽,ハイキュー!!
ガイア,バキ
野口一男,初恋モンスター
三ツ橋蛍,火ノ丸相撲
舞浜カクモ,フューチャーカード バディファイト
ラック・ボルティア,ブラッククローバー
可愛川晴人,枕男子
吉祥寺真紅郎,魔法科高校の劣等生
ハリル,遊戯王ARC-V
南健次郎,ユーリ!!! on ICE
