久遠道也,イナズマイレブン
檜山蓮,ダンボール戦機
Dr.マミー,ダンボール戦機W
後方のアックア,とある魔術の禁書目録
草加拓海,ジパング
ジン=フリークス,HUNTER×HUNTER(1999年版)
クロス・マリアン,D.gray-man
銀城空吾,BLEACH
アベル・ナイトロード,トリニティブラッド
ラッセ・アイオン,機動戦士ガンダム00
グルーデック・エイノア,機動戦士ガンダムAGE
ダグザ・マックール,機動戦士ガンダムUC
ミケーレ・コレマッタ,機動戦士ガンダム MS IGLOO 2 重力戦線
シモン・ガトゥ,銀河機攻隊マジェスティックプリンス
中岡一雅,映画名探偵コナン 11人目のストライカー
アクロマ,ポケットモンスターBW2エピソードN
フラダリ ,ポケモンジェネレーションズ
パンサー・リリー,FAIRYTAIL
片岡鉄心,ダイヤのA
蜂谷ミツヒサ,ウィザード・バリスターズ 弁魔士セシル
須郷徹平,PSYCHO-PASS2
バルドロイ,黒執事
榊遊勝,遊戯王ARC-V
ロラン,魔弾の王と戦姫
九千怜,極黒のブリュンヒルデ
敖潤,最遊記(外伝OVA・BLAST)
銀(銀牙伝説),銀牙伝説WEED
後藤正宗,3月のライオン
エスタロッサ,七つの大罪(漫画)
アルベルト・ハインリヒ,サイボーグ009VSデビルマン
ザリュース・シャシャ,オーバーロード
