中川かのん/アポロ,神のみぞ知るセカイ
スガタメ・タイガー,STARDRIVER輝きのタクト
湯音,異国迷路のクロワーゼ★
ニーちゃん,青の祓魔師
マルゴット・ナイト,境界線上のホライゾン
メイド妹,まおゆう魔王勇者★
円城寺紫乃,ココロコネクト
新子憧,咲-Saki-阿知賀編episode of side-A★
メリエンダ,武装神姫
ユウギリ,THE UNLIMITED 兵部京介
メイヴ・マキャフリイ,エウレカセブンAO
ノア,エウレカセブンAO
夏川真那,俺の彼女と幼なじみが修羅場すぎる★
由比ヶ浜結衣,やはり俺の青春ラブコメはまちがっている。
山田ペコ,銀河機攻隊マジェスティックプリンス
九条カレン,きんいろモザイク
メルティナ・メルヴィス,幻影ヲ駆ケル太陽
佐々木千穂,はたらく魔王さま!
桐崎千棘,ニセコイ
相羽六,魔法戦争★
ヒミコ,ノブナガ・ザ・フール
ダブラスM2,ロボットガールズZ
深水陽菜,グラスリップ★
豪徳寺かよ,さばげぶっ!
クローディア・エンフィールド,学戦都市アスタリスク
黒鉄珠雫,落第騎士の英雄譚★
倉田亜美,ろんぐらいだぁす!
シルヴィア・斑鳩・ミスルギ,クロスアンジュ天使と竜の輪舞★
オリビエ,クロスアンジュ天使と竜の輪舞
ルトガルニコフ中尉,みりたり!
パフ,Go!プリンセスプリキュア★
高坂雪穂,ラブライブ!★
レレイ・ラ・レレーナ,GATE 自衛隊彼の地にて、斯く戦えり★
うちはサスケ,NARUTO(イタチ真伝)
黒崎ほのか,ヤマノススメ★
ゴマちゃん,少年アシベ GOGO!!ゴマちゃん
鈴乃木凜,ばくおん!!
レイナ・プラウラー,マクロスΔ
太田早夜,田中くんはいつもけだるげ★
伊万莉まりあ,この美術部には問題がある!
ケイ・ティエスト,レガリア The Three Sacred Stars
スノーホワイト,魔法少女育成計画
ロッテ,終末のイゼッタ
傘木希美,響け!ユーフォニアム2
園田涼子,月がきれい
猫山鈴,犬神さんと猫山さん
潮田渚,暗殺教室(JSAT2013)
レクティ・アイゼナッハ,空戦魔導士候補生の教官
寺島詩織,戦姫絶唱シンフォギア
リーゼロッテ=シャルロック,トリニティセブン
一之瀬帆波,ようこそ実力至上主義の教室へ
東風谷早苗,東方Project二次創作アニメ「秘封活動記録」
レイシア,BEATLESS
志摩リン,ゆるキャン△
津場木葵,かくりよの宿飯
クロエ・ラウ,重神機パンドーラ★
妖精弓手,ゴブリンスレイヤー
古賀朋絵,青春ブタ野郎はバニーガール先輩の夢を見ない
川合胡桃,色づく世界の明日から
"",""
