宇留千絵,ハイスクール!奇面組
ルー・ルカ,機動戦士ガンダムΖΖ
沢口リカ,のらくろクン
レスカ,NG騎士ラムネ＆40
和登千代子,三つ目がとおる
奇麗田見代,とっても!ラッキーマン
ルンルン・フェルメール,魔法陣グルグル
ドロシー・カタロニア,新機動戦記ガンダムW
パイ・チェン,バーチャファイター(アニメ)
鈴木園子,名探偵コナン
パティ,金色のガッシュベル!!
南空ナオミ,DEATHNOTE
ミズ・シタターレ,ふたりはプリキュアSplash☆Star
ラブ所長,トリコ
綾小路麗夢,ドリームハンター麗夢
セリリ,ぷよぷよ通
ケイ・ニムロッド,Gジェネレーション
トト子,おそ松くん
マリアン,ロビンフッドの大冒険
ウェンディ・モイラー・アンジェラ・ダーリング,ピーターパンの冒険
モネ,ONEPIECE
リボン,ハピネスチャージプリキュア!
香津美・リキュール,サイレントメビウス
東大寺都,神風怪盗ジャンヌ
後光院・アリスン・ブランディ・メルセデス・ローズマリー・フォン・ランコ,突撃!パッパラ隊
畠山安江,はれときどきぶた
田畑早苗,コボちゃん
あかね,きまぐれオレンジ☆ロード
十四松,おそ松くん
桂美姫,超音戦士ボーグマン
朝霧麗左の人物,アイドル伝説えり子
神代ゆい,獣神ライガー
白鳥あずさ,らんま1/2
レスカ,NG騎士ラムネ&40
イネス・フレサンジュ,機動戦艦ナデシコ
桔梗,燃えよ斬鉄剣(ルパン三世)
メロディー・ハニー,七人のナナ
星野スミレ,ドラえもん※4代目
土方歳絵,萌えよ剣
鈴木マナミ(思春鬼),ドテラマン
桑田このみ,ブラック・ジャック
入江紀子,イタズラなKiss
まつ,信長の忍び
