キリト/桐ヶ谷和人,ソードアート・オンライン
藤島鳴海,神様のメモ帳
ダノン・シ・アレイ,輪廻のラグランジェ
宮本誠,TARITARI
瀬谷理久,放浪息子
真壁楓,俺の妹がこんなに可愛いわけがない
中沢くん,魔法少女まどか☆マギカ
速水俊介,超速変形ジャイロゼッター
オルヴァー・ブロムダール,ナイツ&マジック
ティトス・アレキウス,マギ
宮村伊澄,堀さんと宮村くん
山本幸大,告白実行委員会
フリード・セルゼン,ハイスクールD×D
青八木一,弱虫ペダル
神田空太（画像左）,さくら荘のペットな彼女
狭山旬,凪のあすから
桐朋源二,サクラ大戦奏組
渡瀬青葉,バディ・コンプレックス
成瀬ユキヤ,コードギアス亡国のアキト
シトリー・カートライト,魔界王子
ヒイロ,聖戦ケルベロス竜刻のファタリテ
空（左）,ノーゲーム・ノーライフ
一条将輝,魔法科高校の劣等生
黒曜イズナ,ガイストクラッシャー
鷺沼アカシ,M3～ソノ黒キ鋼～
ラバック,アカメが斬る!
愛徒勇気（右）,マンガ家さんとアシスタントさんと
草薙護堂,カンピオーネ!(画像左)
金丸信二,ダイヤのA
カントク(画像左),デンキ街の本屋さん
幸平創真,食戟のソーマ
春日アラタ,トリニティセブン
安芸倫也,冴えない彼女の育てかた
九重透流（画像左）,アブソリュート・デュオ
物部悠（右）,銃皇無尽のファフニール
ベル・クラネル,ダンジョンに出会いを求めるのは間違っているだろうか
ビミィ,ミカグラ学園組曲
落合達也,SHIROBAKO
羽柴夏樹,虹色デイズ
ジオ・インザーギ,精霊使いの剣舞
雪村透,青春×機関銃
カナタ・エイジ,空戦魔導士候補生の教官
卯川晶,スタミュ
朧,境界のRINNE
怪盗フェニックス/赤井翼,怪盗ジョーカー
風間陣,DAYS
アラタ,アラタカンガタリ
シャノワール,グランブルーファンタジー
ペテルギウス・ロマネコンティ,Re:ゼロから始める異世界生活
四ノ宮隼人,私がモテてどうすんだ
海棠亜樹,SUPERLOVERS
和泉正宗,エロマンガ先生
宮代拓留,CHAOS;CHILD
Dr.ラヴ,エルドライブ
フラット・エスカルドス,ロード・エルメロイⅡ世の事件簿
泡瀬洋雪,僕のヒーローアカデミア
ドージ,ガンダムビルドダイバーズ
石和薫,1日外出録ハンチョウ
雨ケ谷昴,サンリオ男子
嘴平伊之助,鬼滅の刃
石動静流,Free!-Dive to the Future-
