一目連,地獄少女
ブルース,ロックマンエグゼ
鳳鏡夜,桜蘭高校ホスト部
草間望,宙のまにまに
マツバ,ポケットモンスター
魅上照,DEATHNOTE
榛名元希,おおきく振りかぶって
キャスパー・ヘクマティアル,ヨルムンガンド
イルミ=ゾルディック,HUNTER×HUNTER（※2011年版）
ヒルシャー,ガンスリンガー・ガール（※第2期）
バラッド・ハンター,ゾイド新世紀/ゼロ
ケイン・マクドゥガル,ミニスカ宇宙海賊
ナベP,SHIROBAKO
中村京次郎,銀魂
藍鼠,あまつき
オーガスト7,DARKER THAN BLACK -流星の双子-
ジョセフ・ジョブスン,ブラスレイター
シン・ヒュウガ・シャイング,コードギアス亡国のアキト
ゾイサイト,美少女戦士セーラームーンCrystal
ガエリオ・ボードウィン,機動戦士ガンダム鉄血のオルフェンズ
ヴィダール,機動戦士ガンダム鉄血のオルフェンズ
ソウガ,ラオウ外伝 天の覇王
源頼光,tactics
川平のおじさん,家庭教師ヒットマンREBORN!
藤真弥勒,境界の彼方
リオウ(黒ニャンコ),夏目友人帳
太裳,少年陰陽師
ダイスケ・アウローラ,ヒートガイJ
ラグナ・ラウレリア,Get Ride! アムドライバー
鬼丸カズミ,カードファイト!!ヴァンガードGNEXT
ディヴァイン,遊戯王5D's
大河内咲也,KAIKANフレーズ※アニメデビュー作
才虎芽斗吏,斉木楠雄のΨ難
