山杜サキ,アイドル天使ようこそようこ
ユリ・フレデリク・エギン,青の祓魔師
大鳥居つばめ,アキハバラ電脳組
植木春子,うえきの法則
斗和子,うしおととら
白面の者,うしおととら
如月アキ,宇宙の騎士テッカマンブレード
松野トド松,おそ松くん('88版)
フェイ・ヴァレンタイン,カウボーイビバップ
しろがね,からくりサーカス
六道乙女/苺,境界のRINNE
スチールバット,空想科学世界ガリバーボーイ
王ドラ,ザ・ドラえもんズ
恐山アンナ,シャーマンキング
オパチョ,シャーマンキング
エレ・ラグ,影技 SHADOW SKILL
みよ吉,昭和元禄落語心中
綾波レイ,新世紀エヴァンゲリオン
碇ユイ,新世紀エヴァンゲリオン
EVA初号機,新世紀エヴァンゲリオン
ペンペン,新世紀エヴァンゲリオン
ウォッ珍,新ビックリマン＊画像左
スラきち,スライム冒険記
リナ=インバース,スレイヤーズ
ライム,セイバーマリオネットJ
泉ゆう,絶対無敵ライジンオー
姫木るる子,絶対無敵ライジンオー
ファルゼブ,絶対無敵ライジンオー
山口梢,絶対無敵ライジンオー
結城京子,ソードアート・オンライン
こむすびまん,それいけ!アンパンマン
御堂まどか,それゆけ!宇宙戦艦ヤマモト・ヨーコ
桜沢翠,ちはやふる
雷の銀狼“アクア”,超魔神英雄伝ワタル
春日エリ,チンプイ
マローネ・ブルカーノ,テイルズオブエターニア＊画像左
ピョコラ=アナローグIII世,デ・ジ・キャラット
那羅王レンゲ,天空戦記シュラト
天使恵,天使な小生意気
ディディーコング,ドンキーコング
ナナミ・シンプソン,七つの海のティコ
里穂子,NINKU -忍空-
光主エリカ,熱血最強ゴウザウラー
立花浩美,熱血最強ゴウザウラー＊画像右
ティラ・ミス,爆れつハンター
夏目温子(ヌクヌク),万能文化猫娘
藤宮紅葉,BLUE SEED
バカボン,平成天才バカボン
ムサシ,ポケットモンスターシリーズ
（カスミの）ルリリ,ポケットモンスターシリーズ
（サトシの）イワンコ,ポケットモンスターシリーズ
（サトシの）ゴマゾウ,ポケットモンスターシリーズ
（サトシの）ツタージャ,ポケットモンスターシリーズ
（サトシの）ヒコザル,ポケットモンスターシリーズ
（サトシの）ピジョン/ピジョット,ポケットモンスターシリーズ
（サトシの）フシギダネ,ポケットモンスターシリーズ
（サトシの）モクロー,ポケットモンスターシリーズ
（セレナの）フォッコ/テールナー,ポケットモンスターシリーズ
（タケシの）ミズゴロウ,ポケットモンスターシリーズ
（ハルカの）イーブイ,ポケットモンスターシリーズ
（ハルカの）エネコ,ポケットモンスターシリーズ
（ハルカの）グレイシア,ポケットモンスターシリーズ
エスペランサ・ニールセン,魔術士オーフェン
忍部ヒミコ,魔神英雄伝ワタル
エヌマ,魔動王グランゾート
グリグリ,魔動王グランゾート
ミンキーモモ,魔法のプリンセス ミンキーモモ（通称海モモ）
雨竜華菜,無敵王トライゼノン
小泉紅子,名探偵コナン
灰原哀,名探偵コナン
かえで,燃える!お兄さん
幻海(若年期),幽☆遊☆白書
浦島はるか,ラブひな
夏目柴名,龍の歯医者
早乙女らんま,らんま1/2
一色まりや,ルパン三世 炎の記憶
キャナル・ヴォルフィード,ロスト・ユニバース
レベッカ,ONE PIECE
