秋山和美,頭文字D Second Stage
折原真帆,宇宙戦艦ヤマト復活篇
テツコ,OH!スーパーミルクチャン
秋月奈久留/ルビー・ムーン,カードキャプターさくら
ナイン・ヴァイオレット,快盗天使ツインエンジェル
アマンダ,かみさまみならい ヒミツのここたま
キラリス,かみさまみならい ヒミツのここたま
桂木麻里,神のみぞ知るセカイ
ジラード・スプリガン,機動戦士ガンダムAGE
櫻井雪乃,Candy☆Boy
レディメイド,仰天人間バトシーラー
天川いずみ,きらりん☆レボリューション
鬼龍院皐月,キルラキル
カトレア,クイーンズブレイド
てまり,しゅごキャラ!
王貴人,仙界伝 封神演義
李美鳳,星方天使エンジェルリンクス
クリス・タスカー,ZOIDS新世紀Ø
めめっち,たまごっち!
オリアナ=トムソン,とある魔術の禁書目録
ちゅちゅり,どちゃもん じゅにあ
籾岡里紗,ToLOVEるシリーズ
緋崎千影,トリアージX
不動アキオ,トリニティセブン
リオン=グンタ,ナイトウィザード The ANIMATION
燕,夏目友人帳
山中いの,NARUTO
淡島,ぬらりひょんの孫
クー音,這いよれ!ニャル子さん
ハッカドール0号,ハッカドール THE あにめ～しょん
オオタチ,ピチューとピカチュウ
津村斗貴子,武装錬金
一希汀,ブブキ・ブランキ
真乃みどり,BRIGADOON まりんとメラン
彩瀬詩夢,プリティーリズム・レインボーライブ
シャルロット=ヘイゼルリンク,プリンセスラバー!
うるおいちゃん,ぷるるんっ!しずくちゃん
妲己,鬼灯の冷徹
エイパム,ぼくたちピチューブラザーズ ～パーティはおおさわぎ!のまき～
ピィ,ポケットモンスター
ムウマ（左側）,ポケットモンスタークリスタル ライコウ雷の伝説
ヒメグマ,劇場版ポケットモンスター セレビィ 時を超えた遭遇
シズエ,ポケットモンスター ダイヤモンド&パール
ハルカ・アーミテージ,舞-乙HiME
珠洲城遥,舞-HiME
シャマル,魔法少女リリカルなのはA's
平塚静,やはり俺の青春ラブコメはまちがっている。
加賀美倫,ワールドトリガー
ミモモ（真ん中）,わがまま☆フェアリー ミルモでポン!
麻夢子,笑ゥせぇるすまんNEW（イラストは原作風）
ベルティーユ・アルチュセール,ワルキューレロマンツェ
