レヴァンティン,魔法少女リリカルなのはシリーズ※1
グラーフアイゼン,魔法少女リリカルなのはシリーズ※1
ブライト,ふしぎ星の☆ふたご姫
豊実琴,プリンセス・プリンセス
シモン,グレンラガン
藤岡,みなみけ
リリアデント・クラウザー,テニスの王子様
臙条巴,空の境界
レイジ,ポケットモンスターダイヤモンド&パール
早瀬浩一,鉄のラインバレル
秋葉巡,かんなぎ
氷魔,メタルファイトベイブレード
テンマ,聖闘士星矢 THE LOST CANVAS 冥王神話
龍峰,聖闘士星矢Ω
ジオ=ヴェガ,BLEACH
ガウル・ガレット・デ・ロワ,DOGDAYS
アンジェロ・ザウパー,機動戦士ガンダムUC
ディーン・アノン,ガンダムAGE
ナツ・ドラグニル,FAIRYTAIL
猿飛佐助,BRAVE10
ブライアン・テイラー,スマイルプリキュア
最上リョウマ,デジモンクロスウォーズ～時を駆ける少年ハンターたち～
アマイモン,青の祓魔師
常磐津次郎,HIGHSCORE
十夢,トリコ
宣野座功,C(アニメ)
伊達政宗,戦国☆パラダイス
ユース・グリンホルン,バトルスピリッツ ブレイヴ
アドルフ・K・ヴァイスマン,K(アニメ)
犬塚信乃,八犬伝-東方八犬異聞-
神浜コウジ,プリティーリズム・レインボーライブ
田中譲二,サーバント×サービス
カミオ,魔界王子
東堂尽八,弱虫ペダル
練紅覇,マギ
ルンデルハウス=コード,ログ・ホライズン
唐瓜,鬼灯の冷徹
ノラン・オシェット,宇宙戦艦ヤマト2199
甘木生馬,少年ハリウッド
デニス・マックフィールド,遊戯王ARC-V
魔狭人,境界のRINNE
ヤイバ,SHOWBYROCK!!※3
アカネ,ディバインゲート
AB型くん,血液型くん!
宮川卓也,ベイビーステップ
二階堂礼緒,はんだくん
タチバナ・カズキ,ドラゴノーツ
高羽秋仁,ファインダーシリーズ
真木ミナシ,M3～ソノ黒キ鋼～
音済百太郎,B-PROJECT
葉月陽,ツキウタ。
有栖院御国,SERVAMP
早乙女拓也,学園ハンサム
ランス,パズドラクロス
ウノ,ナンバカ
森塚駿,Occultic;Nine
レオナルド,ミュータントタートルズ(2007年版)
キリコ・ズブレスカ,神様のいない日曜日
ゴードン・トレーシー,サンダーバード ARE GO
