佐藤真子,頭文字D
川井静香,遊☆戯☆王
アンティ,コレクター・ユイ
セリオ,ToHeart
花喃,最遊記
メリッサ・マオ,フルメタル・パニック!
マリオン・ファウナ,シャーマンキング
道潤,シャーマンキング
ナンシー・幕張,R.O.D
リザ・ホークアイ,鋼の錬金術師(2003年版)
テスラ・マグネッツ,ロックマンエグゼStream
伊井塚龍姫,ヒャッコ
タルホ・ユーキ,交響詩篇エウレカセブン
アスタローシェ・アスラン,トリニティ・ブラッド
アディーネ,天元突破グレンラガン
御子神ハルカ,あにゃまる探偵キルミンずぅ
根津美子,さよなら絶望先生
真庭狂犬,刀語
マーガレット姫,それいけ!アンパンマン
ギルファム女王,バトルスピリッツ ブレイヴ
舞原このは,獣戦士ガルキーバ
シーリン・バフティヤール,機動戦士ガンダム00
アビー・ウィンザー,機動戦士ガンダムSEEDDESTINY
ヒルダ・ハーケン,機動戦士ガンダムSEEDDESTINY
クリーム,TIGER&BUNNY
如月ハニー,新キューティーハニー
ゾーラ,クロスアンジュ天使と竜の輪舞
ハンガリー,Axis Powers ヘタリア
ジャンヌ・ダルク,Axis Powers ヘタリア
マリア・テレジア,Axis Powers ヘタリア
アラクネ,ソウルイーター
小山むさえ,クレヨンしんちゃん
レナ,ファイアーエムブレム 紋章の謎(OVA)
コウモリのキメラアント,HUNTER×HUNTER(2011年版)
ドールイヅミ※,スーパードール★リカちゃん
高橋律子,地獄先生ぬ～べ～
オトヒメ王妃,ONEPIECE
ヴィンスモーク・レイジュ,ONEPIECE
武井美和,潔癖男子!青山くん
アニエス・シュヴァリエ・ド・ミラン,ゼロの使い魔
友永あずき,勇者警察ジェイデッカー
霞蘭子,カスミン
エミリア・ジーナス,マクロス7 銀河が俺を呼んでいる!
ディアナ,メルヘヴン
