陣内理一,サマーウォーズ
金剛阿含,アイシールド21
ガゼル,エウレカセブンAO
グスルグ,戦場のヴァルキュリア3
アイバー,DEATHNOTE
ラリー・フォルク,エースコンバットZERO
J・ガイル,ジョジョの奇妙な冒険 スターダストクルセイダース
ホワイトスネイク,ジョジョの奇妙な冒険オールスターバトル
C-MOON,ジョジョの奇妙な冒険オールスターバトル
シン,真救世主伝説 北斗の拳 ユリア伝
ハン,真・北斗無双
黒夜叉,真・北斗無双
アフロディーテ,聖闘士星矢 Legend of Sanctuary
諸葛誕,真・三國無双
エヴァンジェ,アーマード・コアラストレイヴン
オサムライ・VAN・オサム,デュエルマスターズビクトリーV
シャーロット・クラッカー,ONEPIECE
城戸正宗,ワールドトリガー
グレン・アリアス,バイオハザードヴェンデッタ(吹き替え版)
ドクター・ゲノム,遊戯王VRAINS
土萠創一,美少女戦士セーラームーンCrystal
ロバート・H・オオミヤ,スーパーロボット大戦OG　
叢雲総司,スーパーロボット大戦V※
ゴンザ,おまえうまそうだな
イカヅチ,ゾイドワイルド
