三輪子猫丸,青の祓魔師
馬渕洸,アオハライド
アマタ・ソラ,アクエリオンEVOL
有田春雪,アクセル・ワールド
中村慎也,亜人
ヒルメス/銀仮面卿,アルスラーン戦記（TVアニメ版）
バリアシオン,イクシオンサーガDT
春風一馬/デバンダー,一発必中!!デバンダー
一之瀬一哉,イナズマイレブン
コーマ（駒沢恭馬）,イナズマイレブン
ジャンルカ・ザナルディ,イナズマイレブン
ヒート（厚石茂人）,イナズマイレブン
不動明王,イナズマイレブン
リュー・スケール,イナズマイレブン
安永英嗣,イナズマイレブン
小僧丸サスケ,イナズマイレブン アレスの天秤
向坂悟,イナズマイレブンGO
南沢篤志,イナズマイレブンGO
沖田総司,イナズマイレブンGO クロノ・ストーン
十郎,うしおととら（TVアニメ版）
劉備ガンダム,SDガンダム三国伝BBW
猫宮三郎,オオカミさんと七人の仲間たち
阿部旬,おおきく振りかぶって
篠崎ミコト,Over Drive
我聞悠太,Occultic;Nine
花桐丸竜,おとめ妖怪ざくろ
クーフィア,革命機ヴァルヴレイヴ
西片,からかい上手の高木さん
玄野計,GANTZ:O（劇場アニメ）
ガンバ,GAMBA ガンバと仲間たち（劇場アニメ）＊1
阿形勝平,キズナイーバー
あきらくん,君と僕。
成歩堂龍一,逆転裁判～その「真実」、異議あり!～
桜満集,ギルティクラウン
モーツァルト,クラシカロイド
フィニアン,黒執事
十束多々良,K
逞生,甲鉄城のカバネリ
クロ,SERVAMP -サーヴァンプ-
明智透真,斉木楠雄のΨ難
いーちゃん,戯言シリーズ
夜知春亮,C³
相座武士,四月は君の嘘＊2
波多野,ジョーカー・ゲーム
久我照紀,食戟のソーマ
広瀬康一,ジョジョの奇妙な冒険 ダイヤモンドは砕けない/黄金の旋風
エレン・イェーガー,進撃の巨人
朝比奈覚(14歳・26歳),新世界より
アポロ,神羅万象 天地神明の章(Webアニメ)
タクミ・タケオ/ソードスター,STAR DRIVER 輝きのタクト
天塚汞,ストライク・ザ・ブラッド
羽村めぐむ,絶園のテンペスト
西尾暉,蒼穹のファフナー
とうふくん（二代目）,それいけ!アンパンマン
坂井知季,DIVE!!
成宮鳴,ダイヤのA
砂原翔,探偵チームKZ事件ノート
灰原ユウヤ,ダンボール戦機
藤原定家,超訳百人一首うた恋い。
ハルカ・シーマイヤー,Dimension W
鷹見羊,デッドマン・ワンダーランド
遊馬崎ウォーカー,デュラララ!!
霧嶋絢都,東京喰種
曇空丸,曇天に笑う
ゼルドリス,七つの大罪
メリオダス,七つの大罪
紫苑,No.6
舞子集,ニセコイ
浜守一郎,忍たま乱太郎
明智光秀（織田信長）,信長協奏曲
トヨトミ・ヒデヨシ,ノブナガ・ザ・フール
雪音,ノラガミ
藤枝蘭丸,劇場版はいからさんが通る
孤爪研磨,ハイキュー!!
兵藤一誠,ハイスクールD×D
林憲明,博多豚骨ラーメンズ
ガス・グラヴ,爆丸
小杉達朗,バクマン。
フロム・ヴァンタレイ,バディ・コンプレックス
種村孝一,花咲くいろは
ばなにゃ,ばなにゃ
神崎康介,ばらかもん
市村鉄之助,PEACE MAKER 鐵(劇場アニメ)
小此木榛人,ひそねとまそたん
リオン・バスティア,FAIRY TAIL
芦屋花繪,不機嫌なモノノケ庵
里見蓮太郎,ブラック・ブレット
ハイドラ・ネル,ブラッドラッド
ジュドー,ベルセルク（劇場版）
横寺陽人,変態王子と笑わない猫。
源義経,鬼灯の冷徹
轟焦凍,僕のヒーローアカデミア
シトロン,ポケットモンスター XY
プニちゃん（ジガルデ・コア）,ポケットモンスター XY
バージル,ポケットモンスター ベストウイッシュ シーズン2
ピピ美,ポプテピピック第6話Bパート
アリババ・サルージャ,マギ
汐留行,ミラクル☆トレイン
長谷川昴,ロウきゅーぶ!
穂村尊/Soulburner,遊戯王VRAINS
比泉秋名,夜桜四重奏
オスカー警部補,LUPIN the Third 〜峰不二子という女〜
三雲修,ワールドトリガー
音速のソニック,ワンパンマン
二藤尚哉,ヲタクに恋は難しい
