切原赤也,テニスの王子様
雑渡昆奈門,忍たま乱太郎
奈良シカマル,NARUTO
鳴神,魔探偵ロキ
甲斐セツナ,真・女神転生デビチル
茂野吾郎,MAJOR
オーフェン,魔術士オーフェン
ジェット・リンク,サイボーグ009(2001年)
市松,サムライガン
天野銀次,GetBackers-奪還屋-
ミニ四ファイター,爆走兄弟レッツ&ゴー!!※デビュー作
ラファエル,天使になるもんっ!
陸清雅,彩雲国物語
三和タイシ,カードファイト!!ヴァンガード
佐伯玲士郎,アスラクライン
露草,あまつき
シャルルカン,マギ
バルトロメオ,ONEPIECE
ハムリオ・ムジカ,RAVE
巻島裕介,弱虫ペダル
DJ.Coo,プリティーリズム・レインボーライブ
城崎コウ,美男高校地球防衛部LOVE!
暁鏡司,スタミュ
王茶利暉,B-PROJECT
ポプ子,ポプテピピック ※第7話Bパート
ジャスデロ,D.Gray-man
雹,ジバクくん
花開院秋房,ぬらりひょんの孫 千年魔京
カダージュ,ファイナルファンタジー7 アドベントチルドレン(OVA)
沖田ソージ,PAPUWA
サタン(モンスト),センリツのルシファー
天鎖斬月,BLEACH
蝶野雨緑,斉木楠雄のΨ難
清虚道徳真君,覇穹封神演義
甲賀百鬼丸,怪盗ジョーカー
