神谷篤司,蒼き伝説シュート!
奈落,犬夜叉
人見蔭刀,犬夜叉
Dボゥイ/テッカマンブレード,宇宙の騎士テッカマンブレード
スコット・サマーズ/サイクロプス,エックスメン
リュウ・スザク,F-ZERO ファルコン伝説
ワルター・ワルザック/イーター・イーザック,黄金勇者ゴルドラン
ヴィクトール・フォン・グランツライヒ,王室教師ハイネ
マスターギア,王ドロボウJING＊1
登場人物全員,神々の記
速水真澄,ガラスの仮面（2005年版）
ハラキリ=セップク丸,アニメがんばれゴエモン
シャギア・フロスト,機動新世紀ガンダムX
ディオ,キャシャーン Sins
藤田玲司,ギャラリーフェイク
荻野邦治,キューティクル探偵因幡
ウェラー卿コンラート,今日からマ王!
明智健悟,金田一少年の事件簿
佐々木異三郎,銀魂
テリー・ザ・キッド,キン肉マンⅡ世
フォーク・ザ・ジャイアント,キン肉マンⅡ世
ヒカルド,キン肉マンII世 ULTIMATE MUSCLE
野原ひろし ,クレヨンしんちゃん＊2
焔太子,幻想魔伝 最遊記
グリフィス,剣風伝奇ベルセルク
ピエトロ・ド・ブラドー,GS美神
田代勇介,ご近所物語
鈴木一郎,サイボーグクロちゃん＊3
玉藻京介,地獄先生ぬ〜べ〜
ポチ郎,十二戦支爆烈エトレンジャー
ホルス,十二戦支爆烈エトレンジャー
井坂龍一郎,純情ロマンチカ
甘利,ジョーカー・ゲーム
吉良吉影,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
パンダママ,しろくまカフェ
本官さん,深夜!天才バカボン
魚住朝喜,スタミュ
水天宮寵児,SPEED GRAPHER
清田信長,SLAM DUNK
水戸洋平,SLAM DUNK
アイオロス,聖闘士星矢 Legend of Sanctuary
青龍のゴウ,セイント・ビースト
頭翅,創聖のアクエリオン
菊岡誠二郎,ソードアート・オンラインⅡ
ゆに彦,だめっこどうぶつ
宗方京助,ダンガンロンパ3
利根川幸雄,中間管理録トネガワ
ティキ・ミック,D.Gray-man（2006年版）
及川悠紀夫,デジモンアドベンチャー02
マミーモン,デジモンアドベンチャー02
ダンテ,デビルメイクライ
勝利マン,とっても!ラッキーマン
ゴクア,ドラゴンボールZ 銀河ギリギリ!!ぶっちぎりの凄い奴
次郎,トリコ
霧原直人,NIGHT HEAD GENESIS
一ノ瀬巧,NANA
君麻呂,NARUTO
波風ミナト,NARUTO
ニンジャスレイヤー/フジキド・ケンジ,ニンジャスレイヤー フロムアニメイシヨン
ヴォルグ・ザンギエフ,はじめの一歩
アルフリード・ガラント,バディ・コンプレックス
倣立人,花咲ける青少年
ブラックファング,映画ハピネスチャージプリキュア! 人形の国のバレリーナ
ヘルベルト・ミューラー,ファイ・ブレイン 神のパズル
マルド・ギール,FAIRY TAIL
クレイ・S・アンダーソン,フォーチュン・クエスト
ゴーヤーン,ふたりはプリキュア Splash☆Star
張維新,BLACK LAGOON
黒崎一心,BLEACH
椿鬼,BLEACH
東仙要,BLEACH
真田幸村,BRAVE10
エドガー・アラン・ポオ,文豪ストレイドッグス
仙石要,ボールルームへようこそ
シバ,ポケットモンスター
ミクリ,ポケットモンスター ダイヤモンド&パール
ウーゴくん,マギ
アラド・メルダース,マクロスΔ
羽田秀吉,名探偵コナン
ボンドルド,メイドインアビス
ラゴウ,メタルファイト ベイブレード 4D
榎木津礼二郎,魍魎の匣
巽征一郎,闇の末裔
城之内克也,遊☆戯☆王（東映版）
デューク/デュークファイヤー,勇者警察ジェイデッカー
死々若丸,幽☆遊☆白書
キーファ,RIDEBACK -ライドバック-
ムーン,LINE TOWN
アレックス・ロウ,LAST EXILE
エネル,ONE PIECE
ハチ,ONE PIECE
