ヘルバ,FF:U
琥珀,真月譚月姫
沙羅,マーメイドメロディー ぴちぴちピッチ
佐倉蜜柑,学園アリス
ジャスミン,マシュマロ通信
福沢祐巳,マリア様がみてる
倉内安奈,これが私の御主人様
桃瀬くるみ,ぱにぽにだっしゅ！
八神はやて,魔法少女リリカルなのはA's
白金ルナ,流星のロックマン
向井こずえ,いちご100%
コロナ,神無月の巫女
ソフィア・シェルブール,シュガーバニーズ
愛沢咲夜,ハヤテのごとく!
桂木弥子,魔人探偵脳噛ネウロ
穂波・高瀬・アンブラー,レンタルマギカ
リン・チェンシン,紅kure-nai
遠藤シズナ,鉄のラインバレル
フミカ,シゴフミ
名波翠,テレパシー少女蘭
宮永咲,咲-Saki-
川島乃枝,大正野球娘。
固法美偉,とある科学の超電磁砲
アクア・カレント,アクセル・ワールド
ネオン=ノストラード,HUNTER×HUNTER(2011年版)
フウロ,ポケットモンスター ベストウィッシュ
吉川由紀,堀さんと宮村くん(OVA)
ハイデマリー・W・シュナウファー,ストライクウィッチーズ(劇場版)
藤村鳩子,ぺとぺとさん
大佛はずむ,かしまし ～ガール・ミーツ・ガール～
七城那波,乃木坂春香の秘密
マリィ・クレア,東京魔人學園
ジリアン・チェン,カードファイト!!ヴァンガード
てれてれぼうず,はなかっぱ
イワン・ウイスキー,サイボーグ009(2001年版)
葵ナミ,あきそら(OVA)
山城上総,トータルイクリプス
河嶋桃,ガールズ&パンツァー
羽渡唯子,LOVELESS
不破優月,暗殺教室
スター・バタフライ,悪魔バスター★スター・バタフライ(日本語吹き替え)
アナスタシア・ホーシン,Re:ゼロから始める異世界生活
ステッキン(リリ・ステッキン),パンプキンシザーズ
ロード・ディアーチェ,魔法少女リリカルなのはReflection
"",""
