アトラス,ASTRO BOY 鉄腕アトム
ギリンマ,Yes!プリキュア5
ライオネル,異世界食堂
中里毅,頭文字D
ヴァル,おとぎ銃士赤ずきん
平野コータ,学園黙示録
豪和ユウシロウ,ガサラキ
武者頑駄無,GUNDAM EVOLVE../14
ムルタ・アズラエル,機動戦士ガンダムSEED
シロー・アマダ,機動戦士ガンダム第08MS小隊
ハヤト・コバヤシ,機動戦士Ζガンダム（劇場版）＊1
日向小次郎,キャプテン翼J
猿投山渦,キルラキル
ブルーノ・フォン・クナップシュタイン,銀河英雄伝説
鳴海大介,黒子のバスケ
556,ケロロ軍曹
斑目晴信,げんしけん
李絳攸,彩雲国物語
木下誠一,SHIROBAKO
玄武,聖闘士星矢Ω
トリュフ,ゾイドワイルド
ディアベル,ソードアート・オンライン
ブラックウォーグレイモン,デジモンアドベンチャー02
セラフィモン,デジモンフロンティア
横見浩彦,鉄子の旅
ジャッカル桑原,テニスの王子様
佐々木コジロー,デュエル・マスターズVS
ヴィラル,天元突破グレンラガン
ブラッチャールユーロ,電光超特急ヒカリアン
ショックウェーブ,トランスフォーマー アニメイテッド
出茂鹿之介,忍たま乱太郎
蜂須賀小六,信長の忍び＊2
ランページ,ビーストウォーズメタルス 超生命体トランスフォーマー
高宮鉄兵,B'T-X
斑目一角,BLEACH
ハラ,ポケットモンスター サン&ムーン
クロツグ,ポケットモンスター ダイヤモンド&パール
仮面の戦士,魔法少女リリカルなのはA's
柏木優,マリア様がみてる
エアーズ・ブルー,無限のリヴァイアス
西山勘九郎,無敵看板娘
京極真,名探偵コナン
獅子王凱,勇者王ガオガイガー
旋風寺舞人,勇者特急マイトガイン
飛影,幽☆遊☆白書
吉宗,吉宗
ゴロー将軍,夜ノヤッターマン
西古レイ,ロックマンエグゼ
Mr.3（ギャルディーノ）,ONE PIECE
