フェイト・テスタロッサ,魔法少女リリカルなのはシリーズ
アリシア・テスタロッサ,魔法少女リリカルなのはA's
花咲つぼみ／キュアブロッサム,ハートキャッチプリキュア!
日向ヒナタ／うずまきヒナタ,NARUTO／BORUTO
ティナ,トリコ
フローゼ,トリコ
るう/プリンセスクレール,プリンセスチュチュ
亞里亞,シスタープリンセス
六祭みなづき,HAPPY★LESSON
ランファン,鋼の錬金術師 FULLMETALALCHEMIST
ラース,鋼の錬金術師(2003年版)
忍,ニニンがシノブ伝
玉村たまお,シャーマンキング
コロロ,シャーマンキング
くるる,瓶詰妖精
アリソン(幼少期),アリソンとリリア
リリア,アリソンとリリア
相原琴子,イタズラなKiss
朧,バジリスク〜甲賀忍法帖〜
シスカ,エレメンタルジェレイド
南戸唯,いちご100%
近衛素奈緒,つよきすCool×Sweet
ロイア,牙-KIBA-
夜明エイム,AYAKASHI
霧原未咲,DARKER_THAN_BLACKシリーズ
リフル,CLAYMORE
ほしな歌唄,しゅごキャラ!
ジークリンデ・バウムガルド,DRAGONAUT
南冬馬,みなみけ
檜原瑞生,もっけ
リコッタ・エルマール,DOGDAYS
高槻七海,DOGDAYS
マルチーヌ,かいけつゾロリ
リディア・カールトン,伯爵と妖精
赤夜萌香,ロザリオとバンパイア
カンデンヤマネコ,けんぷファー
シルベット・スエード,テガミバチ
緒方理奈,WHITEALBUM
尾形琳,RIDEBACK
更衣小夜,BLOOD-C
ぴおん,人類は衰退しました
風鳴翼,戦姫絶唱シンフォギア
パンドラ,聖闘士星矢 THE LOST CANVAS 冥王神話
大石練,少女ファイト
カシス,王ドロボウJING(OVA)
大和ソラ,時空探偵ゲンシクン（アニメデビュー作）
鈴木ナナ,七人のナナ（初主演作）
ポワルン,ポケットモンスター アドバンスジェネレーション
クリムヒルト,革命機ヴァルヴレイヴ
ニャモ・ナーモ,ラブひな
安心院なじみ,めだかボックス
アンジュリーゼ・斑鳩・ミスルギ,クロスアンジュ天使と竜の輪舞
練白瑛,マギ
エヴァンジェリン山本,絶園のテンペスト
梨々=ハミルトン,吉永さん家のガーゴイル
まりあ,ウィッチブレイド
アロイス・トランシー,黒執事Ⅱ
関守日輪,うしおととら（TVアニメ版）
あじぽん,うーさーのその日暮らし
ミシェーラ・ウォッチ,血界戦線
立花夢子,この美術部には問題がある!
二鳥真穂,放浪息子
トロウ,赤髪の白雪姫
シモーヌ,モンスターハンターストーリーズ RIDE ON
マリニア,超重神グラヴィオン
近藤妃,WWW.WORKING!!※1
ポプ子,ポプテピピック ※第11話Aパート
瀬川瑞紀,強殖装甲ガイバー
バネッサ・エノテーカ,ブラッククローバー
モリナス,シムーン
秋野真月,若おかみは小学生!
