ジャバウォック,ARMS
マーガレット,うえきの法則
ディー,うたわれるもの
コマンダーサザビー,SDガンダムフォース
明神リューズ,カードファイト!!ヴァンガードG ギアースクライシス編
アッガイ,機動戦士SDガンダム
隠密頑駄無,機動戦士SDガンダム
オスカ・ダブリン,機動戦士ガンダム（TV版12話）＊1
シャア・アズナブル,機動戦士ガンダム
ギルバート・デュランダル,機動戦士ガンダムSEED DESTINY
フル・フロンタル,機動戦士ガンダムUC
クワトロ・バジーナ,機動戦士Ζガンダム
ウルリッヒ・ケスラー,銀河英雄伝説＊2
米堕卿,銀魂＊3
西澤梅雄,ケロロ軍曹＊4
紅邵可,彩雲国物語
初代・蠍座のミロ,聖闘士星矢
棗慎,天上天下
スコット・シンプソン,七つの海のティコ＊5
ドルド,バオー来訪者
カイト,HUNTER×HUNTER（2011年版）
名雲京志郎,新世紀GPXサイバーフォーミュラSAGA
赤井秀一,名探偵コナン
黒羽盗一,名探偵コナン
火堂害,燃える!お兄さん
比古清十郎,るろうに剣心
カシュー・アルナーグI世,ロードス島戦記（OVA版）
ヤッピー,ワールド・デストラクション＊6
シャンクス,ONE PIECE
ロード・レオン,超人ロック
