マリア,荒川アンダーザブリッジ
シュウ,イナズマイレブンGO
七海春歌,うたの☆プリンスさまっ♪マジLOVE1000%
伊東せりか,宇宙兄弟
鎌手先生,Aチャンネル
鈴原サクラ,ヱヴァンゲリヲン新劇場版
13代目前田敦子,AKB0048
岩沢（岩沢雅美）,Angel Beats!
紅ノ亞里亞(水無瀨莉愛),Occultic;Nine -オカルティック・ナイン-
いばら姫,おとぎ銃士 赤ずきん
小暮駆,おねがいマイメロディ
はりねずみくん/ハリー（左側）,おねがいマイメロディ
ダイヤモンド・クイーン,怪盗ジョーカー
毒島冴子,学園黙示録 HIGHSCHOOL OF THE DEAD
桃喰綺羅莉,賭ケグルイ
カナン,CANAAN
青葉つぐみ,かんなぎ
君嶋加奈,寄生獣 セイの格率
クラウレ・ハモン,機動戦士ガンダム THE ORIGIN
ミント・ブラマンシュ,ギャラクシーエンジェル
本多・正純,境界線上のホライゾン
スズカゼ・リン,銀河機攻隊マジェスティックプリンス
月読ジゼル,金田一少年の事件簿
紅真九郎,紅kure-nai
シリリ,クレヨンしんちゃん 襲来!!宇宙人シリリ
淡島世理,K
エィハ,ケイオスドラゴン赤竜戦役
鬼太郎,ゲゲゲの鬼太郎(6期)
瀬尾結月,月刊少女野崎くん
ノントルマの少女,ケロロ軍曹
ロジコマ,攻殻機動隊ARISE
トワイライト/紅城トワ/キュアスカーレット,Go!プリンセスプリキュア
稲葉姫子,ココロコネクト
北条麗華,ご愁傷さま二ノ宮くん
唐之杜志恩,PSYCHO-PASS
関内・マリア・太郎,さよなら絶望先生
コジョピー,しあわせソウのオコジョさん
トモカネ,GA芸術科アートデザインクラス
サラ・シェーン,Charlotte
オパール,ジュエルペットシリーズ
カイト,ジュエルペットシリーズ
ラブラ,ジュエルペットシリーズ
有栖川あおい,ジュエルペット（1作目）
藍沢晶子,ジュエルペット サンシャイン
寮のおばちゃん,ジュエルペット サンシャイン
平和泉,ジュエルペット ハッピネス
ヨル,しゅごキャラ!
リタ,神撃のバハムート GENESIS
水嶺神シズク,神羅万象～天地神明の章～
「Y」,人類は衰退しました
鹿島そのら,ステラ女学院高等科C3部
ペリーヌ・クロステルマン,ストライクウィッチーズ
上柚木綾瀬,Z/X IGNITION
鎖部葉風,絶園のテンペスト
櫻井了子/フィーネ,戦姫絶唱シンフォギア
杉谷善住坊,戦国コレクション
シノン(朝田詩乃),ソードアート・オンライン
馬場つつじ,宇宙をかける少女
サラダ姫/サラダ王子,それいけ!アンパンマン
ダリアン,ダンタリアンの書架
銭形次子,探偵オペラミルキィホームズ
ラグ・シーイング,テガミバチ
ぷちこ,デ・ジ・キャラット
迫真琴＊1,DEVIL SURVIVOR2 the ANIMATION
セルティ・ストゥルルソン,デュラララ!!
犬飼ゲン,テンカイナイト
柴崎麻子,図書館戦争
チコ・サイエンス,トップをねらえ2!
リルル,ドラえもん 新・のび太と鉄人兵団 〜はばたけ 天使たち〜
笹田純,夏目友人帳
初瀬いづな,ノーゲーム・ノーライフ
毘沙門,ノラガミ
霧慧トァン,ハーモニー
神原駿河,化物語
芹沢茜,ぱにぽに
クラピカ,HUNTER×HUNTER（2011年日本テレビ版）
財前ミツオ,ヒーローバンク
大家さん,ひだまりスケッチ
ビビ,ひめチェン!おとぎちっくアイドル リルぷりっ
キャル・ディヴェンス,Phantom ～Requiem for the Phantom～
法光院,風雲維新ダイ☆ショーグン
ウル,FAIRY TAIL
ウルティア・ミルコビッチ,FAIRY TAIL
バルゴ,FAIRY TAIL
サイフォス,武装神姫
吉良康介,BTOOOM!
小鳥遊ヨミ/デッドマスター,ブラック★ロックシューター
夏玉蘭,フルメタル・パニック!TheSecondRaid
クリスティーナ・クロダ,ベイブレードバースト神
ベル坊,べるぜバブ
神郷洵,PERSONA -trinity soul-
神郷結祈,PERSONA -trinity soul-
ライチ,ポケットモンスター サン&ムーン
マイ,ポケットモンスター ダイヤモンド&パール
小泉紅子,まじっく快斗※2代目
寮長先生,まりあ†ほりっく
霧雨魔理沙,夢想夏郷
久賀秋音,妖怪アパートの幽雅な日常
ブレンダ,妖怪ウォッチ
五十音ことは,夜桜四重奏 〜ヨザクラカルテット〜
リリアーナ・イル・グラツィオーソ・メルロー・トゥラン,ラストエグザイル-銀翼のファム-
峰不二子,ルパン三世※3代目、2011年以降
レディ・ブート,レディ ジュエルペット
レディ・レクター,レディ ジュエルペット
レビン,レディ ジュエルペット
真紅,ローゼンメイデン
村崎ワカコ,ワカコ酒
二科志麻,私がモテてどうすんだ
モスキート娘,ワンパンマン
シャーロット・プリン＊2,ONE PIECE
