海馬瀬人,遊☆戯☆王デュエルモンスターズ
ネイサン・シーモア/ファイヤーエンブレム,TIGER&BUNNY
乾貞治,テニスの王子様
大人ランボ,家庭教師ヒットマンREBORN!
スパナ,家庭教師ヒットマンREBORN!
ブラフォード,ジョジョの奇妙な冒険
御子柴清十郎,Free!
周防尊,K
雪比奈,CODE:BREAKER
館長さん,おじゃる丸
ユダ,DD北斗の拳
ビットウェイ・オズロック,イナズマイレブンGOギャラクシー
手札の君レア麿,バディファイト
雪見和彦,隠の王
ロッキンロビン,シュガシュガルーン
ニコラス・ブラウン,GANGSTA.
竜牙,メタルファイトベイブレード
ロブスター,ニンジャスレイヤーフロムアニメイシヨン
後藤卓也,響け!ユーフォニアム
的場井周作,ブブキ・ブランキ※
レッド・ライダー,アクセル・ワールド
アトミック侍,ワンパンマン
ニコ,東京喰種
グレムリン,バディファイト
ミフネ,ソウルイーター
茨木童子,ぬらりひょんの孫
ジェジェ,SERVAMP
ニーノ,ACCA13区監察課
ビンセント・ボールド,宇宙兄弟
宇佐美源一郎,キラキラ☆プリキュアアラモード
一声三鶴,ナンバカ
ヴィンスモーク・ヨンジ,ONEPIECE
六甲,Landreaall(OVA)
蒲生次郎,ジョーカー・ゲーム
ファンゴ,91Days
ドール・フロスト,機動戦士ガンダムAGE
O-3,タイムボカン 逆襲の三悪人
モンスピート,七つの大罪
セイジュウロウ,ゾイドジェネシス
不動明王,妖怪ウォッチ シャドウサイド
グラーゼ,アルスラーン戦記 風塵乱舞
重田盛夫,3月のライオン
アルベール・ダンドレジー,ルパン三世PART5
尾形百之助,ゴールデンカムイ
山城アオバ,NARUTO
スピット・ファイア,エア・ギア
山刀伐尽,りゅうおうのおしごと!
ゴッド・リー,テラフォーマーズ(OVA)
サンダークラッカー,キュートランスフォーマー
シルバー・フルバスター,FAIRY TAIL
バッカス・グロウ,FAIRY TAIL
長澤嵐,初恋モンスター
治崎廻/オーバーホール,僕のヒーローアカデミア
シコルスキー,刃牙
