北白川たまこ,たまこまーけっと
満艦飾マコ,キルラキル
茅野カエデ,暗殺教室
竹中柊,ロウきゅーぶ!
滝壺理后,とある科学の超電磁砲S
マルガ,マギ
星白閑,シドニアの騎士
白羽衣つむぎ,シドニアの騎士
リカンツ=シーベリー,健全ロボダイミダラー
夏樹みくる,アイカツ!-アイドルカツドウ!-
ポセスO2,ロボットガールズZ
西原ルミ,腐男子高校生活
橘佳奈,極黒のブリュンヒルデ
笠置静香,六畳間の侵略者!?
セリナ=シャルロック,トリニティセブン
洲崎綾,洲崎西 THE ANIMATION
Nora Valkyrie,RWBY(吹替版)
神楽坂倫花,バルキリードライヴビクニ
永井慧理子,亜人
長谷川スミカ,バーナード嬢曰く。
ドーナ,Lostorage incited WIXOSS
お姫,あまんちゅ!
花岡ツバサ,Classroom☆Crisis
エイダー,ACCA13区監察課
宍戸ゆりあ&宍戸まりあ,つうかあ
タエ,BLAME!
蓮見真琴,ミカグラ学園組曲
チュール,魔法陣グルグル2017年版
月島まりな,BanG_Dream!
一条蘭世,HUGっと!プリキュア
飛騨しょうこ,ハッピーシュガーライフ
大鳥居あすか,魔法少女特殊戦あすか
八千代命,RELEASE_THE_SPYCE
