十凍京/ソゴル・キョウ,ゼーガペイン
薬屋大助/かっこう,ムシウタ
クロウ・ホーガン,遊戯王5D's
イシュトヴァーン,グイン・サーガ
高坂潤平,にゃんこい!
浦島太郎,オオカミさんと七人の仲間たち
津田タカトシ,生徒会役員共
「私」,四畳半神話大系
大門カイト,ファイ・ブレイン
スンダ,フラクタル-FRACTALE-
黛拓武/シアン・パイル,アクセル・ワールド
戌井榊,あっちこっち
ゼオ,ONEPIECE
海動剣,マジンカイザーSKL
シュルク,ゼノブレイド / スマブラ3DS/WiiU
逆廻十六夜,問題児たちが異世界から来るそうですよ?
アサギ・トシカズ,銀河機攻隊マジェスティックプリンス
佐々山光留,PSYCHO-PASS
バット星人グラシエ,ウルトラゼロファイト
倉持洋一,ダイヤのA
桜内義之,D.C.II（下記イラストの真ん中）
畑耕作,のうりん
西尾錦,東京喰種
前原陽斗,暗殺教室
斉木楠雄,斉木楠雄のΨ難(Webアニメ)/ジェイスターズビクトリーバーサス
前田利家,信長協奏曲
秋吉,キューティクル探偵因幡
九条一,一週間フレンズ。
スサノオ,アカメが斬る!
早河巧,絶園のテンペスト
時坂洸,東亰ザナドゥ
鳴狐,刀剣乱舞
"",""
