サガ・ベルイマン,ちっちゃな雪使いシュガー
結崎ひよの,スパイラル～推理の絆～
孫策伯符,一騎当千
黒城舞夏,うた∽かた
桜塚恋,Canvas2 〜虹色のスケッチ〜
沢渡いずみ,これが私の御主人様
リニス,魔法少女リリカルなのは
御門まりや,乙女はお姉さまに恋してる
田辺涼,スケッチブックFULLcolor's
朝風理沙,ハヤテのごとく!
チアキ,シゴフミ
鈴野綾,モノクローム・ファクター
佐久間レイコ,怪談レストラン
ミユキ・アユカワ,バスカッシュ!
マーガレット,ONEPIECE
永田有里,GIANTKILLING
竹井醇子,ストライクウィッチーズ
アギエル,べるぜバブ
上月澪,ONE～輝く季節へ～
ふらわー,こわれかけのオルゴール
河内亜也子,氷菓
平井ゆかり,灼眼のシャナ
ローズ・アンダーソン,SoltyRei
紺藤さつき,快盗天使ツインエンジェル
アマネ・ハヅキ,銀河機攻隊マジェスティックプリンス
桃乃恵,まほらば
ミロ,聖闘士星矢 Legend of Sanctuary
穂乃果の母,ラブライブ!
海藤みなみ/キュアマーメイド,Go!プリンセスプリキュア
ゴーゴー,ベイマックス
青柳璃彩,PSYCHO-PASS
ミウ,ゲゲゲの鬼太郎(5期)
Glynda Goodwitch,RWBY(吹替版)
石丸小唄,戯言シリーズ※
アリツカゲラ,けものフレンズ(アニメ)
リリベウ,ドラゴンボール超
