シュレード・エラン,アクエリオンEVOL
イタリア,Axis Powers ヘタリア
ロマーノ,Axis Powers ヘタリア
ナルサス,アルスラーン戦記（日5版）
獅堂京一,韋駄天翔
ギルベルト・ブーゲンビリア,ヴァイオレット・エヴァーガーデン
鏢,うしおととら
ガンイーグル,SDガンダムフォース
神城麻郁,おねがい☆ツインズ
連坊小路サトミ,革命機ヴァルヴレイヴ
枇々木丈,ガッチャマン クラウズ
沢田綱吉（十年後）,家庭教師ヒットマンREBORN!
プリーモ,家庭教師ヒットマンREBORN!
レオン・ルイス,牙狼 炎の刻印
玄野計,GANTZ
ゼラ・ギンス,機動戦士ガンダムAGE
ヨウラン・ケント,機動戦士ガンダム SEED DESTINY スペシャルエディション
ミハエル・トリニティ,機動戦士ガンダム00
直江兼続,義風堂々!! 兼続と慶次
風早翔太,君に届け
一条聖也,逆境無頼カイジ 破戒録篇
円竜也,Gilgamesh
徳川喜喜,銀魂
伊佐那社,K
アオイ,ケロケロちゃいむ
捜シ者,CODE:BREAKER
杜影月,彩雲国物語
カミサマ,最遊記RELOAD
イクス,ザ・サード(左の人物)
秋津政之助,さらい屋五葉
草間大作,GR-GIANT ROBO-
藤木源之助,シグルイ
柊剛人,少年ハリウッド
楊過,神鵰侠侶 コンドルヒーロー
桜咲鈴雄,住めば都のコスモス荘
カミュ,聖闘士星矢 Legend of Sanctuary
神崎人,ZETMAN
ミカゲ=セレスタイン,07-GHOST
伊波葛,閃光のナイトレイド
石田三成,戦国☆パラダイス -極-
土御門有馬,双星の陰陽師
シャーロくん,それいけ!アンパンマン
ティーン・グールド,タイドライン・ブルー
滝川・クリス・優,ダイヤのA
青島カズヤ,ダンボール戦機
東郷リクヤ,ダンボール戦機ウォーズ
ファイ・D・フローライト,ツバサ・クロニクル
サウザー,DD北斗の拳
水樹寿人,DAYS
鳳長太郎,テニスの王子様
鳥居純吾,DEVIL SURVIVOR2 the ANIMATION
有馬貴将,東京喰種シリーズ
アール,トレインヒーロー
雲平・帷・デュランダル,隠の王
斉藤タカ丸,忍たま乱太郎
及川徹,ハイキュー!!
奴隷23号/ヴァン・ホーエンハイム（青年期）,鋼の錬金術師 FULLMETAL ALCHEMIST
秋月耀次郎,幕末機関説 いろはにほへと
板垣学,はじめの一歩
尾崎要,八犬伝-東方八犬異聞-
リローヴ,バトルスピリッツ ソードアイズ
月光のバローネ,バトルスピリッツ ブレイヴ
ルマティ・イヴァン・ダイ・ラギネイ,花咲ける青少年
白鳥健太郎,バロムワン
ヒソカ,HUNTER×HUNTER（2011年版）
青木一行,秘密-トップ・シークレット-
ジェラール・フェルナンデス,FAIRY TAIL
ウェイバー・ベルベット,Fate/Zero
朝日奈祈織,BROTHERS CONFLICT
岡島緑郎,BLACK LAGOON
ウルキオラ・シファー,BLEACH
ジーロ,BLUE DRAGON
レナード・テスタロッサ,フルメタル・パニック!
江川逞,ベイビーステップ
田中幸雄,BECK
ルカ・レッドグレイブ,BAYONETTA Bloody Fate
ロトム図鑑,ポケットモンスター サン&ムーン
ゴヨウ,ポケットモンスター ダイヤモンド&パール
ピピ美,ポプテピピック第8話Bパート
ギュンター・フォン・ゴールドバーグ二世,まじっく快斗
リンデル,魔法使いの嫁
ジョー・ギブソンJr,メジャー
阿久根高貴,めだかボックス
赤馬零王/プロフェッサー,遊☆戯☆王ARC-V
梶木漁太,遊☆戯☆王デュエルモンスターズ
芥辺,よんでますよ、アザゼルさん。
石川五ェ門（3代目）,ルパン三世
王子,レベルE
太刀川慶,ワールドトリガー
結木摂,わがまま☆フェアリー ミルモでポン! ちゃあみんぐ
ジーナス博士,ワンパンマン
豚神,ワンパンマン
ユースタス・キッド,ONE PIECE
