稗田柚子,朝霧の巫女
安藤みなわ,まほろまてぃっく
小野寺樺恋,おねがい☆ツインズ
ドロップ,コロッケ!
キク8号,ワンダバスタイル
真田木綿,らいむいろ戦奇譚
レンレンレン・ナグサランレンシーア・ルルンンレン・ナコラ,Dears
美袋命,舞-HiME
月村すずか,魔法少女リリカルなのはシリーズ
端本ちなみ,いちご100%
沢渡みつき,これが私の御主人様
スノウ,メルヘヴン
ダニエル,しにがみのバラッド。
涼水玉青,ストロベリー・パニック
ロード・キャメロット,D.Gray-man
エリス,エル・カザド
竜骨寺椿姫,狂乱家族日記
犬神初音,絶対可憐チルドレン
国広一,咲-Saki-
エルミン,ティアーズ・トゥ・ティアラ
サンゴ,ジュエルペット
菊池かえで,ジュエルペットサンシャイン
大先生,これはゾンビですか?
怪物王女,シャーウッド
今川義元,戦国コレクション
セラフォルー・レヴィアタン,ハイスクールD×D
リフモニカ(画像右),サモンナイト クラフトソード物語 はじまりの石
ソニア,ルーンファクトリーオーシャンズ
深峰莉子,gift
陰からマモル!,服部山芽
アカリ,この醜くも美しい世界
境界線上のホライゾン,三要・光紀
生徒会の一存,藤堂エリス
日向絆奈,ストロベリー・パニック
倉川灯,神のみぞ知るセカイ
天宝院ルリ,クロスファイトビーダマン
花園まりえ,ジュエルペットハッピネス
パム・ウェルヌ・アサクラ,AYAKASHI
石月こより,sola
阿賀野カエデ,新世紀エヴァンゲリオン(ゲーム版)
クーちゃん(マスコットキャラクター),宝くじ
クラン・シャント,ファイト一発!充電ちゃん!!
生田蒔輝,ケンコー全裸系水泳部ウミショー
千夏,僕らはみんな河合荘
鈴木桃香(左),女子高生
アップル(左),ブレイザードライブ
イブ・ジル・初美(右),ヤミと帽子と本の旅人
ミコト,舞-乙HiME
海野潮音,絶対少年
フリーシア・ローズマリー,ティンクルスタースプライツ〜La Petite Princesse〜
ド・エッジ,ティンクルスタースプライツ〜La Petite Princess
ダーク・ラン,ティンクルスタースプライツ〜La Petite Princesse〜※
山本えりす,ガンパレード・オーケストラ 青の章 〜光の海から手紙を送ります〜
平泉つばさ,鉄道むすめ
小早川ゆたか,らき☆すた(ゲーム・ドラマCD版)
さくや,Routes
早乙女浪漫,SKET DANCE(ドラマCD)
チナツ,ヨルムンガンド(ドラマCD)
シャーロッテ,ファイアーエムブレムif(ゲーム)
川島芳子,魔界錬闘会(総合エンタメ)
サトウ,ダンガンロンパ3
