樟葉楓子,あぃまぃみぃ!ストロベリー・エッグ
呂布奉先,一騎当千
雷火のフサノシン,陰陽大戦記
タルル上等兵,ケロロ軍曹
多由也,NARUTO
陸奥,銀魂
ジョウ,爆裂天使
スラー,ロックマンエグゼStream
まぁ社長,ARIA
絡繰茶々丸,魔法先生ネギま!
ドリィ、グラァ,うたわれるもの
ハウエンクア,うたわれるもの
ヴィレッタ・ヌゥ,コードギアス
月野亜紀,琴浦さん
ヒッチ・ドリス,進撃の巨人
ヴァラール,キスダム
とんかつ,ながされて藍蘭島
ハル,はぴはぴクローバー
エリザベス・トンプソン,ソウルイーター
結城リト,ToLOVEる
アムネリス,グイン・サーガ
シェリー=クロムウェル,とある魔術の禁書目録
リーオ,PandoraHearts
上島さやか,ハートキャッチプリキュア
バク,ポケットモンスター ダイヤモンド&パール
シューティー,ポケットモンスターベストウイッシュ
サトシのズルッグ,ポケットモンスターベストウイッシュ
アンジー,ポケットモンスターBWシーズン2エピソードN
水地零士,メタルファイトベイブレード
矢作キョウ,カードファイト!!ヴァンガード
北島沙希,ダンボール戦機
三影ミカ,ダンボール戦機
木場カゲト,ダンボール戦機ウォーズ
ケイト,バトルスピリッツ ブレイヴ
山登翔,韋駄天翔
ナタリア・カミンスキー,Fate/Zero
瀬名ロビン,ウィッチハンターロビン
土方歳三,戦国コレクション
ザクロちゃん,撲殺天使ドクロちゃん
不知火ビャクガ,クロスファイトビーダマンeS
ディアナ,狼と香辛料
ロクシー,アラド戦記 スラップアップパーティー
クロキ・アンジュ,銀河機攻隊マジェスティックプリンス
松岡凛(小学生時代),Free!
松岡江,Free!
カーミラ,ルパン三世 princess of the breeze ～隠された空中都市～
ザイナブ,マギ
ねぇねっち,GO-GOたまごっち!
ドクター・ゲッコー,クロスアンジュ天使と竜の輪舞
パキラ,ポケットモンスターXY特別編 最強メガシンカ ～Actシリーズ～
ミッドナイト,僕のヒーローアカデミア
緑谷出久（幼少期）,僕のヒーローアカデミア
スザク,新幹線変形ロボ_シンカリオン_THE_ANIMATION
ハムスケ,オーバーロード
