ゴン=フリークス,HUNTER×HUNTER(2011年版)
洲崎アイル,デジモンクロスウォーズ 時を駆ける少年ハンターたち
サン,イナズマイレブンGOVSダンボール戦機W
コハル,ポケットモンスター ベストウイッシュ
源保光の娘,超訳百人一首 うた恋い。
七津星(セイ),超速変形ジャイロゼッター
獅々谷鷹ノ助,メタルファイトベイブレードZERO-G
神代璃緒,遊戯王ZEXAL
白銀リン,ガイストクラッシャー
猪熊空太,きんいろモザイク
月影ちあり,ジュエルペットハッピネス
メグミーナ（右側）,ジュエルペットハッピネス
花野菫,ちはやふる2
うちはオビト(少年),NARUTO
蟲奉行,ムシブギョー
岡野佳,ゆゆ式
橘綾,弱虫ペダル
レナード(右側),LINE TOWN
白雪ひめ/キュアプリンセス,ハピネスチャージプリキュア!
イナズマまもる(右側),超爆裂異次元メンコバトル ギガントシューター つかさ
ララァさん,ガンダムさん
ハイヴ,残響のテロル
ジャンヌ・ダルク,神撃のバハムートGENESIS
アルテイシア・ソム・ダイクン,機動戦士ガンダム THE ORIGIN
新井明彦(右側),ばらかもん
千寿夏世,ブラック・ブレット
ヒカル,ナノ・インベーダーズ
大和凛子,俺物語!!
ダル太夫,SHOW BY ROCK!!
引狭霧雄,うしおととら(TVアニメ版)
ラキたま,かみさまみならい ヒミツのここたま
掘ちえ,東京喰種
万流礼央子,ブブキ・ブランキ
北斗星司(下の画像)、南夕子、早田進次郎〈幼少期〉,ULTRAMAN
化野紅緒,双星の陰陽師
エレキング,怪獣娘～ウルトラ怪獣擬人化計画～
ヘータロー・パールバトン,Re:ゼロから始める異世界生活
アツコ・カガリ,リトルウィッチアカデミア
チャップ,スナックワールド
ブリス,パワーパフガールズ
"",""
"",""
