ゆきあつ（幼少期）,あの日見た花の名前を僕達はまだ知らない。
綾瀬千早,ちはやふる
アメリタ・トランペ,DOGDAYS
高槻よしの,放浪息子
宮本来夏,TARITARI
フィン・エ・ルド・スイ・ラフィンティ,輪廻のラグランジェ
堀京子,堀さんと宮村くん
芹澤直子,ハルチカ
李青舜,マギ
星宮らいち,アイカツ!
神谷しおん,アイカツ!
指南ショーコ,革命機ヴァルヴレイヴ
袴田かげつ,ロウきゅーぶ!
藍羽浅葱,ストライク・ザ・ブラッド
火々里綾火,ウィッチクラフトワークス
五十島くるみ,魔法戦争
道宮結,ハイキュー!!
浦添伊緒奈,selector_infected_WIXOSS
真戸暁,東京喰種
黒髪の女/知幸,デス・パレード
キー,モンスター娘のいる日常
シャルロット・シャルゼン,ヴァルキリードライヴ　マーメイド
北条美代子,食戟のソーマ
夏輝,キューティクル探偵因幡
ミラージュ・ファリーナ・ジーナス,マクロスΔ
樋口一葉,文豪ストレイドッグス
荻布美夏,クロムクロ
イングリッド・ティエスト,レガリア The Three Sacred Stars
高砂調,浦和の調ちゃん
シズ・デルタ,オーバーロード
ウリエル,七つの美徳
桜島麻衣,青春ブタ野郎はバニーガール先輩の夢を見ない
折神紫,刀使ノ巫女
月見里菫,すのはら荘の管理人さん
