レイ,うる星やつら
リザドギルディ,俺、ツインテールになります。
スレッガー・ロウ,機動戦士ガンダム
屁怒絽,銀魂
荒岩一味,クッキングパパ
アクション仮面,クレヨンしんちゃん
ナレーション・登場キャラ全て,こんなこいるかな
海坊主,シティーハンター/エンジェル・ハート
ケイン・イブラヒーム・ハサン(代役),重神機パンドーラ＊1
偽キャプテン・テニール,ジョジョの奇妙な冒険 スターダストクルセイダース
ハウリング,映画スイートプリキュアとりもどせ!心がつなぐ奇跡のメロディ
ピエーロ,スマイルプリキュア
ルナパパ,瀬戸の花嫁
アルデバラン,聖闘士星矢
すなおとこ,それいけ!アンパンマン
くらやみまん（2代目）,それいけ!アンパンマン＊2
あめふりおに（右上）,それいけ!アンパンマン 虹のピラミッド
ジェイムズ・リンクス,"Z.O.E Dolores, i＊3"
岩鬼正美,ドカベン
スッパマン,Dr.スランプ アラレちゃん
シュウ,ドラゴンボール
ボージャック,ドラゴンボールZ 銀河ギリギリ!!ぶっちぎりの凄い奴
ジャネンバ,ドラゴンボールZ 復活のフュージョン!!悟空とベジータ
九喇嘛,NARUTO
イトウくん,南国少年パプワくん
クローンヤクザ,ニンジャスレイヤーフロムアニメイシヨン
冷越豪,ハイスクール!奇面組
SORO,Phantasy Star Online 2 The Animation
サタン,鬼灯の冷徹
スペード他悪役多数,北斗の拳
ポプ子,ポプテピピック＊4
龍神丸,魔神英雄伝ワタル
カスケード,みどりのマキバオー
戸愚呂弟,幽☆遊☆白書
喪黒福造,笑ゥせぇるすまん(2017年版)＊5
メタルナイト,ワンパンマン
カイドウ,ONE PIECE
海神セレス,魔法騎士レイアース
