アルクェイド・ブリュンスタッド,真月譚月姫
宮間夕菜,まぶらほ
岸本恵,GANTZ
周防美琴,スクールランブル
中川弓子,ふたりはプリキュア
鳳ヴィヴィアン,UG☆アルティメットガール
伊勢七緒,BLEACH
鳥居江利子,マリア様がみてる
有馬菜々,マリア様がみてる
伊藤伸恵,苺ましまろ
桔梗霧,Canvas2
マージョリー・ドー,灼眼のシャナ
南条操,ぱにぽにだっしゅ！
エイプリル,コヨーテラグタイムショー
菊川みつお,団地ともお
花園静馬,ストロベリー・パニック
早坂桜花,武装錬金
鬼丸美輝,無敵看板娘
りる,錬金3級 まじかる？ぽか～ん
関羽雲長,一騎当千
白井麗子,大家さんは思春期!
立花利菜,ムシウタ
桂雪路,ハヤテのごとく!
カル・シェーカル,タブー・タトゥー
鈿女,セキレイ
薬師寺涼子,薬師寺涼子の怪奇事件簿
シズカ,クイーンズブレイド
寮監,とある科学の超電磁砲
姉原美鎖,よくわかる現代魔法
沙織・バジーナ/槇島沙織,俺の妹がこんなに可愛いわけがない
シンディー・キャンベル,侵略!?イカ娘
悠木かなで,FORTUNE ARTERIAL
ユーディット・スノーレヴィク,アスタロッテのおもちゃ!
鳴海アサカ,カードファイト!!ヴァンガード
ツララ女王,たまごっち
ウィンドブレード,トランスフォーマーアドベンチャー
片瀬真宵,あっちこっち
柴田勝家,織田信奈の野望
麻倉良太郎,黒魔女さんが通る!!
クリス,これはゾンビですか?
クリスカ・ビャーチェノワ,トータルイクリプス
天野夕麻/レイナーレ,ハイスクールD×D
相田マナ/キュアハート,ドキドキ!プリキュア
高橋絵里子,女子高生Girl's-High
龍造寺茜,ワルキューレロマンツェ(アニメ版)
冬馬かずさ,WHITEALBUM2
にぼし,にゃ～めん
キョーコ先生,ニセコイ
シトロンのハリマロン,ポケットモンスターXY
サキ（セレナのママ）（画像上）,ポケットモンスターXY
ホシノ・マリカ,ガンダムビルドファイターズトライ
にぼしにゃ～めん,にゃ～めん
六文,境界のRINNE
シャアたん,えとたま
逸見エリカ,ガールズ&パンツァー
柏木典子,ペルソナ4
紅坂朱音,冴えない彼女の育てかた
櫻井奏,Candyboy
