キンギョのラン,天使のしっぽシリーズ
神代やよい,破壊魔定光
水原暦,あずまんが大王
セイ,爆裂天使
水銀燈,ローゼンメイデンシリーズ
九条ひかり/シャイニールミナス,ふたりはプリキュアMaxHeart
ちぃ,ちょびっツ
トモエ・マルグリット,舞-乙HiME
シムカ,エア・ギア
松方弘子,働きマン
マリア,ハヤテのごとく!
椎名観月,あかね色に染まる坂
ミーナ・ディートリンデ・ヴィルケ,ストライクウィッチーズ
恋ヶ窪ゆり,とらドラ!
マーズ,ポケットモンスター ダイヤモンド&パール
マリアベル,夜桜四重奏
リャン・チー,CANAAN
ニクス,クイーンズブレイド
相沢千鶴,侵略!イカ娘
三池苗子,名探偵コナン
アリシア,アクエリオンEVOL
山本玲,宇宙戦艦ヤマト2199
フアナ,境界線上のホライゾン
巫条霧絵,空の境界
山本岬,初恋限定。
島崎,荒川アンダーザブリッジ
ソフィア,ドラえもん のび太の人魚大海戦
真田三月,デュアル!ぱられルンルン物語
サキ,鋼鉄天使くるみ
マリエル,花右京メイド隊
マユちゃん,キョロちゃん
西住まほ,ガールズ&パンツァー
十六夜咲夜,東方Project(夢想夏郷)※二次創作アニメ
ヴィヴィアン・ウォン,遊☆戯☆王デュエルモンスターズ
黒崎朱浬,アスラクライン
シャロン・エイム,トータルイクリプス
真田さん,円盤皇女ワるきゅーレ
フィア・グロス,舞-乙HiME
ワルプルギス,アニメ・モンスターストライク
コンバットさん,一撃殺虫!!ホイホイさん
天一,少年陰陽師
美樹原蓮,フルメタル・パニック?ふもっふ
八千草響子,りぜるまいん
トレイニー,転生したらスライムだった件
