孫田空作/イタダキマン,イタダキマン
藤波竜之介,うる星やつら
チビ太,おそ松くん(1988年版)
ツワブキ・ダイヤ,ガイキング LEGEND OF DAIKU-MARYU
キャスバル・レム・ダイクン,機動戦士ガンダム THE ORIGIN
田神悠宇,巨神ゴーグ
ジョバンニ,銀河鉄道の夜(映画)
佃半平太,Gu-Guガンモ＊1
キャプテンヒカル,ケロケロちゃいむ
フォックス/シスカ,サイボーグクロちゃん
忍豚,さすがの猿飛＊2
大牙剣,獣神ライガー
ひのたまこぞう,それいけ!アンパンマン＊3
ニャンジャ,それいけ!アンパンマン ばいきんまんの逆襲
坂本勝平,ダッシュ勝平
リュウ・マオシン,中華一番!
パズー,天空の城ラピュタ
イーラ,ドキドキ!プリキュア
追手内洋一/ラッキーマン,とっても!ラッキーマン
チッポ,映画ドラえもん のび太とアニマル惑星
占いババ,ドラゴンボールシリーズ＊4
クリリン,ドラゴンボールシリーズ
ヤジロベー,ドラゴンボールシリーズ
パプワ,南国少年パプワくん＊5
摂津のきり丸,忍たま乱太郎
天子男ジャック,祝（ハピ☆ラキ）ビックリマン
ブーチョッキン,ヒーローバンク
ショーねえちゃん,ぼのぼの
戦部ワタル,魔神英雄伝ワタル
十鬼島ゲン,マップス 伝説のさまよえる星人たち
ボロット,丸出だめ夫（1991年アニメ版）
モジャ公,モジャ公
コエンマ,幽遊白書
塚山由太郎,るろうに剣心 -明治剣客浪漫譚-
モンキー・D・ルフィ,ONE PIECE
