志摩八百造,青の祓魔師
キャプテン・ファルコン/バート,F-ZERO ファルコン伝説
木之本藤隆,カードキャプターさくら
ウッディ・マルデン,機動戦士ガンダム
ジャン・ロベール・ラップ,銀河英雄伝説
スプリングマン,キン肉マン
テリーマン,キン肉マン
プラネットマン,キン肉マン
ペンタゴン,キン肉マン
ジョマ,クレヨンしんちゃん ヘンダーランドの大冒険）
バックベアード,ゲゲゲの鬼太郎（6作目）
大豪院邪鬼,魁!!男塾
槇村秀幸,シティーハンター
マタムネ,シャーマンキング
木暮公延,SLAMDUNK
アイオリア,聖闘士星矢
スターセイバー,戦え!超ロボット生命体 トランスフォーマーV
団守彦,探偵学園Q＊1
アラン・イゴール,超獣機神ダンクーガ
アポロモン,デジモンクロスウォーズ～悪のデスジェネラルと七つの王国～
オメガモン,デジモン X-evolution
ジョーダン・ベス,伝説巨神イデオン
市川,闘牌伝説アカギ
山田太郎,ドカベン
スコップくん,Dr.スランプ アラレちゃん
アバン先生,DRAGON QUEST ダイの大冒険
キルバーン,DRAGON QUEST ダイの大冒険
モータードクロ,ニンジャスレイヤー フロムアニメイシヨン
モーターヤブ,ニンジャスレイヤー フロムアニメイシヨン
事代作吾,ハイスクール!奇面組
D,バンパイアハンターD（映画）
明智光秀,へうげもの
赤い霧,ファイナルファンタジー：アンリミテッド
ドラゴン打ちの竜,プロゴルファー猿
エンリコ・マクスウェル,HELLSING
ファルコ,北斗の拳2
炎神レイアース,魔法騎士レイアース
工藤優作,名探偵コナン
ヴォルフガング・グリマー,MONSTER
レプリカ,ワールドトリガー
ドンキホーテ・ドフラミンゴ,ONE PIECE
