マイン,アカメが斬る!
塔原明日葉,アスタロッテのおもちゃ!
斑鳩ちはや,明日のよいち!
山乃檸檬,あの夏で待ってる
彩城天音,アンジュ・ヴィエルジュ
ヴィクトリア・サマナーク,異世界食堂
篠ノ之束,インフィニット・ストラトス
ベルンカステル,うみねこのなく頃に
3型目渡辺麻友,AKB0048
赤ずきん,おとぎ銃士赤ずきん
森野苺,おねがい☆ティーチャー/おねがい☆ツインズ
来栖加奈子,俺の妹がこんなに可愛いわけがない
夏川真涼,俺の彼女と幼なじみが修羅場すぎる
グレドーラ,カードファイト!!ヴァンガードGZ
ヴァイオレット・ワインバーグ,学戦都市アスタリスク
とがめ,刀語
聖帝小路美森,彼女がフラグをおられたら
蘭花・フランボワーズ,ギャラクシーエンジェルシリーズ
エリザベス,境界線上のホライゾン
針目縫,キルラキル
エクセル,黒神
エリザベス・ミッドフォード,黒執事
ヒルダ,クロスアンジュ天使と竜の輪舞
セップククロウサギ,けんぷファー
蘭堂りの、プッチャン,極上生徒会
夢原知予,斉木楠雄のΨ難
瑞原はやり,咲-Saki-
フィア・キューブリック,C³
ベアトリクス・ブレーメ,シュヴァルツェスマーケン
由詑かなみ,スクライド
栗原渚,スケッチブックFULLcolor's
小日向杏,世界一初恋2
遠山咲,探偵オペラミルキィホームズ
カオル,旦那が何を言っているかわからない件
重福省帆,とある科学の超電磁砲
どーにゃつ,どーにゃつ
エレオノーラ・ミランダ・クシェペルカ,ナイツ&マジック
むろみさん,波打際のむろみさん
テンテン,NARUTO-ナルト-
木下林檎,のうりん
ジブリール,ノーゲーム・ノーライフ
ルールー/ルールー・アムール/キュアアムール,HUGっと!プリキュア
山田,B型H系
美紗,ぴたテン
筒隠つくし/鋼鉄の王,変態王子と笑わない猫。
沢桔梗,ベン・トー＊1
杉浦碧,舞-HiME
竹馬園夏帆,迷い猫オーバーラン!
虹原いんく/ぱすてるインク,もえたん
ルル,モノクローム・ファクター
闇竜,勇者王ガオガイガーFINAL
光竜,勇者王ガオガイガーFINAL
プリシラ・バーリエル,Re:ゼロから始める異世界生活
高町なのは,リリカルなのはシリーズ
